"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             22,               ,             22,               ,               ,               ,
2020-02-16,             22,            1.0,              0,               ,               ,               ,
2020-02-17,             22,            1.0,              0,               ,               ,               ,
2020-02-18,             22,            1.0,              0,               ,               ,               ,
2020-02-19,             22,            1.0,              0,               ,               ,               ,
2020-02-20,             22,            1.0,              0,               ,               ,               ,
2020-02-21,             22,            1.0,              0,               ,               ,               ,
2020-02-22,             22,            1.0,              0,               ,               ,               ,
2020-02-23,             22,            1.0,              0,               ,               ,               ,
2020-02-24,             22,            1.0,              0,               ,               ,               ,
2020-02-25,             22,            1.0,              0,               ,               ,               ,
2020-02-26,             22,            1.0,              0,               ,               ,               ,
2020-02-27,             22,            1.0,              0,               ,               ,               ,
2020-02-28,             25,          1.136,              3,               ,               ,               ,
2020-02-29,             25,            1.0,              0,               ,               ,               ,
2020-03-01,             29,           1.16,              4,               ,               ,               ,
2020-03-02,             29,            1.0,              0,               ,               ,               ,
2020-03-03,             36,          1.241,              7,               ,               ,               ,
2020-03-04,             50,          1.389,             14,               ,               ,               ,
2020-03-05,             55,            1.1,              5,               ,               ,               ,
2020-03-06,             83,          1.509,             28,               ,               ,               ,
2020-03-07,             93,           1.12,             10,               ,               ,               ,
2020-03-08,             99,          1.065,              6,               ,               ,               ,
2020-03-09,            117,          1.182,             18,               ,               ,               ,
2020-03-10,            129,          1.103,             12,               ,               ,               ,
2020-03-11,            149,          1.155,             20,               ,               ,               ,
2020-03-12,            158,           1.06,              9,               ,               ,               ,
2020-03-13,            197,          1.247,             39,               ,               ,               ,
2020-03-14,            238,          1.208,             41,               ,               ,               ,
2020-03-15,            428,          1.798,            190,               ,               ,               ,
2020-03-16,            566,          1.322,            138,               ,               ,               ,
2020-03-17,            673,          1.189,            107,              2,               ,              2,
2020-03-18,            790,          1.174,            117,              2,            1.0,              0,
2020-03-19,            900,          1.139,            110,              2,            1.0,              0,
2020-03-20,           1030,          1.144,            130,              3,            1.5,              1,
2020-03-21,           1183,          1.149,            153,              8,          2.667,              5,
2020-03-22,           1306,          1.104,            123,             10,           1.25,              2,
2020-03-23,           1518,          1.162,            212,             14,            1.4,              4,
2020-03-24,           1624,           1.07,            106,             16,          1.143,              2,
2020-03-25,           1796,          1.106,            172,             20,           1.25,              4,
2020-03-26,           2031,          1.131,            235,             23,           1.15,              3,
2020-03-27,           2161,          1.064,            130,             26,           1.13,              3,
2020-03-28,           2320,          1.074,            159,             27,          1.038,              1,
2020-03-29,           2470,          1.065,            150,             35,          1.296,              8,
2020-03-30,           2626,          1.063,            156,             37,          1.057,              2,
2020-03-31,           2766,          1.053,            140,             43,          1.162,              6,
2020-04-01,           2908,          1.051,            142,             45,          1.047,              2,
2020-04-02,           3116,          1.072,            208,             50,          1.111,              5,
2020-04-03,           3333,           1.07,            217,             53,           1.06,              3,
2020-04-04,           3483,          1.045,            150,             57,          1.075,              4,
2020-04-05,           3662,          1.051,            179,             61,           1.07,              4,
