"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              0,              0,              0,              0,              0,              0,
2020-03-20,              0,              0,              0,              0,              0,              0,
2020-03-21,              0,              0,              0,              0,              0,              0,
2020-03-22,              0,              0,              0,              0,              0,              0,
2020-03-23,              0,              0,              0,              0,              0,              0,
2020-03-24,              0,              0,              0,              0,              0,              0,
2020-03-25,              2,              0,              2,              0,              0,              0,
2020-03-26,              4,            2.0,              2,              0,              0,              0,
2020-03-27,             11,           2.75,              7,              0,              0,              0,
2020-03-28,             18,          1.636,              7,              1,              0,              1,
2020-03-29,             18,            1.0,              0,              1,            1.0,              0,
2020-03-30,             25,          1.389,              7,              2,            2.0,              1,
2020-03-31,             28,           1.12,              3,              2,            1.0,              0,
2020-04-01,             31,          1.107,              3,              3,            1.5,              1,
2020-04-02,             36,          1.161,              5,              3,            1.0,              0,
2020-04-03,             39,          1.083,              3,              3,            1.0,              0,
2020-04-04,             41,          1.051,              2,              3,            1.0,              0,
2020-04-05,             45,          1.098,              4,              5,          1.667,              2,
2020-04-06,             47,          1.044,              2,              5,            1.0,              0,
2020-04-07,             56,          1.191,              9,              5,            1.0,              0,
2020-04-08,             59,          1.054,              3,              7,            1.4,              2,
2020-04-09,             74,          1.254,             15,              7,            1.0,              0,
2020-04-10,             87,          1.176,             13,              7,            1.0,              0,
