"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              3,              0,              3,              0,              0,              0,
2020-03-08,              3,            1.0,              0,              0,              0,              0,
2020-03-09,              4,          1.333,              1,              0,              0,              0,
2020-03-10,              5,           1.25,              1,              0,              0,              0,
2020-03-11,              7,            1.4,              2,              0,              0,              0,
2020-03-12,              9,          1.286,              2,              0,              0,              0,
2020-03-13,             12,          1.333,              3,              0,              0,              0,
2020-03-14,             18,            1.5,              6,              0,              0,              0,
2020-03-15,             21,          1.167,              3,              0,              0,              0,
2020-03-16,             30,          1.429,              9,              0,              0,              0,
2020-03-17,             38,          1.267,              8,              0,              0,              0,
2020-03-18,             48,          1.263,             10,              0,              0,              0,
2020-03-19,             53,          1.104,              5,              0,              0,              0,
2020-03-20,             64,          1.208,             11,              0,              0,              0,
2020-03-21,             73,          1.141,              9,              0,              0,              0,
2020-03-22,             90,          1.233,             17,              0,              0,              0,
2020-03-23,            107,          1.189,             17,              0,              0,              0,
2020-03-24,            110,          1.028,              3,              0,              0,              0,
2020-03-25,            129,          1.173,             19,              0,              0,              0,
2020-03-26,            134,          1.039,              5,              0,              0,              0,
2020-03-27,            139,          1.037,              5,              0,              0,              0,
2020-03-28,            149,          1.072,             10,              0,              0,              0,
2020-03-29,            151,          1.013,              2,              0,              0,              0,
2020-03-30,            156,          1.033,              5,              0,              0,              0,
2020-03-31,            169,          1.083,             13,              0,              0,              0,
2020-04-01,            188,          1.112,             19,              0,              0,              0,
2020-04-02,            196,          1.043,              8,              0,              0,              0,
2020-04-03,            202,          1.031,              6,              0,              0,              0,
2020-04-04,            213,          1.054,             11,              0,              0,              0,
2020-04-05,            227,          1.066,             14,              0,              0,              0,
2020-04-06,            241,          1.062,             14,              0,              0,              0,
2020-04-07,            293,          1.216,             52,              0,              0,              0,
2020-04-08,            299,           1.02,              6,              1,              0,              1,
2020-04-09,            337,          1.127,             38,              2,            2.0,              1,
2020-04-10,            350,          1.039,             13,              2,            1.0,              0,
