"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,              2,               ,              2,               ,               ,               ,
2020-03-06,              2,            1.0,              0,               ,               ,               ,
2020-03-07,              2,            1.0,              0,               ,               ,               ,
2020-03-08,              2,            1.0,              0,               ,               ,               ,
2020-03-09,              2,            1.0,              0,               ,               ,               ,
2020-03-10,              3,            1.5,              1,               ,               ,               ,
2020-03-11,              3,            1.0,              0,               ,               ,               ,
2020-03-12,              3,            1.0,              0,               ,               ,               ,
2020-03-13,              3,            1.0,              0,               ,               ,               ,
2020-03-14,             10,          3.333,              7,               ,               ,               ,
2020-03-15,             10,            1.0,              0,               ,               ,               ,
2020-03-16,             15,            1.5,              5,              1,               ,              1,
2020-03-17,             15,            1.0,              0,              1,            1.0,              0,
2020-03-18,             23,          1.533,              8,              1,            1.0,              0,
2020-03-19,             23,            1.0,              0,              1,            1.0,              0,
2020-03-20,             32,          1.391,              9,              1,            1.0,              0,
2020-03-21,             37,          1.156,              5,              1,            1.0,              0,
2020-03-22,             44,          1.189,              7,              1,            1.0,              0,
2020-03-23,             53,          1.205,              9,              1,            1.0,              0,
2020-03-24,             57,          1.075,              4,              1,            1.0,              0,
2020-03-25,             66,          1.158,              9,              1,            1.0,              0,
2020-03-26,             81,          1.227,             15,              1,            1.0,              0,
2020-03-27,             93,          1.148,             12,              1,            1.0,              0,
2020-03-28,             93,            1.0,              0,              1,            1.0,              0,
2020-03-29,             93,            1.0,              0,              1,            1.0,              0,
2020-03-30,             93,            1.0,              0,              1,            1.0,              0,
2020-03-31,            128,          1.376,             35,              3,            3.0,              2,
2020-04-01,            135,          1.055,              7,              3,            1.0,              0,
2020-04-02,            138,          1.022,              3,              3,            1.0,              0,
2020-04-03,            143,          1.036,              5,              3,            1.0,              0,
2020-04-04,            145,          1.014,              2,              3,            1.0,              0,
2020-04-05,            149,          1.028,              4,              4,          1.333,              1,
2020-04-06,            151,          1.013,              2,              4,            1.0,              0,
