"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              3,              0,              3,              0,              0,              0,
2020-03-19,              7,          2.333,              4,              0,              0,              0,
2020-03-20,             12,          1.714,              5,              0,              0,              0,
2020-03-21,             14,          1.167,              2,              1,              0,              1,
2020-03-22,             28,            2.0,             14,              2,            2.0,              1,
2020-03-23,             36,          1.286,              8,              2,            1.0,              0,
2020-03-24,             42,          1.167,              6,              2,            1.0,              0,
2020-03-25,             48,          1.143,              6,              2,            1.0,              0,
2020-03-26,             81,          1.688,             33,              2,            1.0,              0,
2020-03-27,             94,           1.16,             13,              2,            1.0,              0,
2020-03-28,            102,          1.085,              8,              2,            1.0,              0,
2020-03-29,            107,          1.049,              5,              3,            1.5,              1,
2020-03-30,            128,          1.196,             21,              3,            1.0,              0,
2020-03-31,            143,          1.117,             15,              5,          1.667,              2,
2020-04-01,            161,          1.126,             18,              6,            1.2,              1,
2020-04-02,            169,           1.05,              8,              7,          1.167,              1,
2020-04-03,            186,          1.101,             17,              7,            1.0,              0,
2020-04-04,            196,          1.054,             10,              7,            1.0,              0,
2020-04-05,            227,          1.158,             31,              7,            1.0,              0,
2020-04-06,            244,          1.075,             17,              7,            1.0,              0,
2020-04-07,            268,          1.098,             24,              7,            1.0,              0,
2020-04-08,            273,          1.019,              5,              7,            1.0,              0,
2020-04-09,            314,           1.15,             41,              7,            1.0,              0,
2020-04-10,            318,          1.013,              4,              9,          1.286,              2,
