"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,               ,               ,               ,               ,               ,               ,
2020-03-12,               ,               ,               ,               ,               ,               ,
2020-03-13,               ,               ,               ,               ,               ,               ,
2020-03-14,              1,               ,              1,               ,               ,               ,
2020-03-15,              1,            1.0,              0,               ,               ,               ,
2020-03-16,              2,            2.0,              1,               ,               ,               ,
2020-03-17,              3,            1.5,              1,               ,               ,               ,
2020-03-18,              3,            1.0,              0,               ,               ,               ,
2020-03-19,              4,          1.333,              1,               ,               ,               ,
2020-03-20,              7,           1.75,              3,               ,               ,               ,
2020-03-21,             11,          1.571,              4,               ,               ,               ,
2020-03-22,             11,            1.0,              0,               ,               ,               ,
2020-03-23,             24,          2.182,             13,               ,               ,               ,
2020-03-24,             36,            1.5,             12,               ,               ,               ,
2020-03-25,             36,            1.0,              0,               ,               ,               ,
2020-03-26,             36,            1.0,              0,               ,               ,               ,
2020-03-27,             50,          1.389,             14,               ,               ,               ,
2020-03-28,             63,           1.26,             13,               ,               ,               ,
2020-03-29,             63,            1.0,              0,               ,               ,               ,
2020-03-30,             82,          1.302,             19,               ,               ,               ,
2020-03-31,             94,          1.146,             12,              1,               ,              1,
2020-04-01,            101,          1.074,              7,              1,            1.0,              0,
2020-04-02,            116,          1.149,             15,              1,            1.0,              0,
2020-04-03,            128,          1.103,             12,              2,            2.0,              1,
2020-04-04,            134,          1.047,              6,              2,            1.0,              0,
2020-04-05,            147,          1.097,             13,              2,            1.0,              0,
2020-04-06,            164,          1.116,             17,              2,            1.0,              0,
