"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              1,              0,              1,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              3,            3.0,              2,              0,              0,              0,
2020-03-11,              3,            1.0,              0,              0,              0,              0,
2020-03-12,              6,            2.0,              3,              0,              0,              0,
2020-03-13,              6,            1.0,              0,              0,              0,              0,
2020-03-14,             12,            2.0,              6,              0,              0,              0,
2020-03-15,             23,          1.917,             11,              0,              0,              0,
2020-03-16,             29,          1.261,              6,              0,              0,              0,
2020-03-17,             30,          1.034,              1,              0,              0,              0,
2020-03-18,             36,            1.2,              6,              1,              0,              1,
2020-03-19,             49,          1.361,             13,              1,            1.0,              0,
2020-03-20,             66,          1.347,             17,              1,            1.0,              0,
2020-03-21,             80,          1.212,             14,              1,            1.0,              0,
2020-03-22,             94,          1.175,             14,              1,            1.0,              0,
2020-03-23,            109,           1.16,             15,              1,            1.0,              0,
2020-03-24,            125,          1.147,             16,              1,            1.0,              0,
2020-03-25,            149,          1.192,             24,              1,            1.0,              0,
2020-03-26,            177,          1.188,             28,              1,            1.0,              0,
2020-03-27,            199,          1.124,             22,              2,            2.0,              1,
2020-03-28,            231,          1.161,             32,              2,            1.0,              0,
2020-03-29,            263,          1.139,             32,              2,            1.0,              0,
2020-03-30,            298,          1.133,             35,              2,            1.0,              0,
2020-03-31,            353,          1.185,             55,              4,            2.0,              2,
2020-04-01,            423,          1.198,             70,              5,           1.25,              1,
2020-04-02,            505,          1.194,             82,              6,            1.2,              1,
2020-04-03,            591,           1.17,             86,              8,          1.333,              2,
2020-04-04,            752,          1.272,            161,             12,            1.5,              4,
2020-04-05,            864,          1.149,            112,             15,           1.25,              3,
2020-04-06,            965,          1.117,            101,             19,          1.267,              4,
2020-04-07,           1056,          1.094,             91,             22,          1.158,              3,
2020-04-08,           1174,          1.112,            118,             27,          1.227,              5,
2020-04-09,           1289,          1.098,            115,             29,          1.074,              2,
2020-04-10,           1438,          1.116,            149,             29,            1.0,              0,
