"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,               ,               ,               ,               ,               ,               ,
2020-03-07,               ,               ,               ,               ,               ,               ,
2020-03-08,               ,               ,               ,               ,               ,               ,
2020-03-09,               ,               ,               ,               ,               ,               ,
2020-03-10,               ,               ,               ,               ,               ,               ,
2020-03-11,               ,               ,               ,               ,               ,               ,
2020-03-12,               ,               ,               ,               ,               ,               ,
2020-03-13,               ,               ,               ,               ,               ,               ,
2020-03-14,               ,               ,               ,               ,               ,               ,
2020-03-15,               ,               ,               ,               ,               ,               ,
2020-03-16,               ,               ,               ,               ,               ,               ,
2020-03-17,              2,               ,              2,               ,               ,               ,
2020-03-18,              8,            4.0,              6,               ,               ,               ,
2020-03-19,             13,          1.625,              5,               ,               ,               ,
2020-03-20,             14,          1.077,              1,               ,               ,               ,
2020-03-21,             16,          1.143,              2,               ,               ,               ,
2020-03-22,             21,          1.312,              5,               ,               ,               ,
2020-03-23,             27,          1.286,              6,              1,               ,              1,
2020-03-24,             47,          1.741,             20,              1,            1.0,              0,
2020-03-25,             53,          1.128,              6,              1,            1.0,              0,
2020-03-26,             69,          1.302,             16,              1,            1.0,              0,
2020-03-27,             82,          1.188,             13,              1,            1.0,              0,
2020-03-28,             84,          1.024,              2,              1,            1.0,              0,
2020-03-29,             85,          1.012,              1,              1,            1.0,              0,
2020-03-30,             91,          1.071,              6,              1,            1.0,              0,
2020-03-31,            109,          1.198,             18,              2,            2.0,              1,
2020-04-01,            123,          1.128,             14,              2,            1.0,              0,
2020-04-02,            144,          1.171,             21,              2,            1.0,              0,
2020-04-03,            174,          1.208,             30,              2,            1.0,              0,
2020-04-04,            201,          1.155,             27,              2,            1.0,              0,
