"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              0,              0,              0,              0,              0,              0,
2020-03-20,              0,              0,              0,              0,              0,              0,
2020-03-21,              0,              0,              0,              0,              0,              0,
2020-03-22,              0,              0,              0,              0,              0,              0,
2020-03-23,              2,              0,              2,              0,              0,              0,
2020-03-24,              3,            1.5,              1,              0,              0,              0,
2020-03-25,              3,            1.0,              0,              0,              0,              0,
2020-03-26,              5,          1.667,              2,              0,              0,              0,
2020-03-27,              8,            1.6,              3,              0,              0,              0,
2020-03-28,              8,            1.0,              0,              0,              0,              0,
2020-03-29,             10,           1.25,              2,              0,              0,              0,
2020-03-30,             14,            1.4,              4,              0,              0,              0,
2020-03-31,             15,          1.071,              1,              1,              0,              1,
2020-04-01,             16,          1.067,              1,              1,            1.0,              0,
2020-04-02,             20,           1.25,              4,              1,            1.0,              0,
2020-04-03,             20,            1.0,              0,              1,            1.0,              0,
2020-04-04,             21,           1.05,              1,              1,            1.0,              0,
2020-04-05,             21,            1.0,              0,              1,            1.0,              0,
2020-04-06,             22,          1.048,              1,              1,            1.0,              0,
2020-04-07,             22,            1.0,              0,              1,            1.0,              0,
2020-04-08,             22,            1.0,              0,              3,            3.0,              2,
2020-04-09,             23,          1.045,              1,              3,            1.0,              0,
2020-04-10,             27,          1.174,              4,              3,            1.0,              0,
