"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,               ,              1,               ,               ,               ,
2020-02-16,              1,            1.0,              0,               ,               ,               ,
2020-02-17,              1,            1.0,              0,               ,               ,               ,
2020-02-18,              1,            1.0,              0,               ,               ,               ,
2020-02-19,              1,            1.0,              0,               ,               ,               ,
2020-02-20,              1,            1.0,              0,               ,               ,               ,
2020-02-21,              1,            1.0,              0,               ,               ,               ,
2020-02-22,              1,            1.0,              0,               ,               ,               ,
2020-02-23,              1,            1.0,              0,               ,               ,               ,
2020-02-24,              1,            1.0,              0,               ,               ,               ,
2020-02-25,              1,            1.0,              0,               ,               ,               ,
2020-02-26,              1,            1.0,              0,               ,               ,               ,
2020-02-27,              1,            1.0,              0,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              1,            1.0,              0,               ,               ,               ,
2020-03-02,              1,            1.0,              0,               ,               ,               ,
2020-03-03,              1,            1.0,              0,               ,               ,               ,
2020-03-04,              1,            1.0,              0,               ,               ,               ,
2020-03-05,              1,            1.0,              0,               ,               ,               ,
2020-03-06,              1,            1.0,              0,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              1,            1.0,              0,               ,               ,               ,
2020-03-13,              1,            1.0,              0,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              1,            1.0,              0,               ,               ,               ,
2020-03-16,              1,            1.0,              0,               ,               ,               ,
2020-03-17,              1,            1.0,              0,               ,               ,               ,
2020-03-18,              1,            1.0,              0,               ,               ,               ,
2020-03-19,              1,            1.0,              0,               ,               ,               ,
2020-03-20,              1,            1.0,              0,               ,               ,               ,
2020-03-21,              1,            1.0,              0,               ,               ,               ,
2020-03-22,              1,            1.0,              0,               ,               ,               ,
2020-03-23,              2,            2.0,              1,               ,               ,               ,
2020-03-24,              2,            1.0,              0,               ,               ,               ,
2020-03-25,              3,            1.5,              1,               ,               ,               ,
2020-03-26,              3,            1.0,              0,               ,               ,               ,
2020-03-27,              4,          1.333,              1,               ,               ,               ,
2020-03-28,              5,           1.25,              1,               ,               ,               ,
2020-03-29,              5,            1.0,              0,               ,               ,               ,
2020-03-30,              5,            1.0,              0,               ,               ,               ,
2020-03-31,              5,            1.0,              0,               ,               ,               ,
2020-04-01,              5,            1.0,              0,               ,               ,               ,
2020-04-02,              6,            1.2,              1,               ,               ,               ,
2020-04-03,              6,            1.0,              0,               ,               ,               ,
2020-04-04,              9,            1.5,              3,               ,               ,               ,
2020-04-05,              9,            1.0,              0,               ,               ,               ,
2020-04-06,              9,            1.0,              0,               ,               ,               ,
