"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,              1,               ,              1,               ,               ,               ,
2020-02-27,              4,            4.0,              3,               ,               ,               ,
2020-02-28,              6,            1.5,              2,               ,               ,               ,
2020-02-29,             15,            2.5,              9,               ,               ,               ,
2020-03-01,             19,          1.267,              4,               ,               ,               ,
2020-03-02,             25,          1.316,              6,               ,               ,               ,
2020-03-03,             33,           1.32,              8,               ,               ,               ,
2020-03-04,             59,          1.788,             26,               ,               ,               ,
2020-03-05,             94,          1.593,             35,               ,               ,               ,
2020-03-06,            127,          1.351,             33,               ,               ,               ,
2020-03-07,            156,          1.228,             29,               ,               ,               ,
2020-03-08,            176,          1.128,             20,               ,               ,               ,
2020-03-09,            227,           1.29,             51,               ,               ,               ,
2020-03-10,            400,          1.762,            173,               ,               ,               ,
2020-03-11,            629,          1.573,            229,               ,               ,               ,
2020-03-12,            800,          1.272,            171,              1,               ,              1,
2020-03-13,            996,          1.245,            196,              1,            1.0,              0,
2020-03-14,           1109,          1.113,            113,              3,            3.0,              2,
2020-03-15,           1256,          1.133,            147,              3,            1.0,              0,
2020-03-16,           1348,          1.073,             92,              3,            1.0,              0,
2020-03-17,           1471,          1.091,            123,              3,            1.0,              0,
2020-03-18,           1591,          1.082,            120,              6,            2.0,              3,
2020-03-19,           1790,          1.125,            199,              7,          1.167,              1,
2020-03-20,           1959,          1.094,            169,              7,            1.0,              0,
2020-03-21,           2164,          1.105,            205,              7,            1.0,              0,
2020-03-22,           2385,          1.102,            221,              7,            1.0,              0,
2020-03-23,           2625,          1.101,            240,             10,          1.429,              3,
2020-03-24,           2866,          1.092,            241,             12,            1.2,              2,
2020-03-25,           3084,          1.076,            218,             14,          1.167,              2,
2020-03-26,           3372,          1.093,            288,             14,            1.0,              0,
2020-03-27,           3771,          1.118,            399,             19,          1.357,              5,
2020-03-28,           4015,          1.065,            244,             23,          1.211,              4,
2020-03-29,           4284,          1.067,            269,             26,           1.13,              3,
2020-03-30,           4445,          1.038,            161,             32,          1.231,              6,
2020-03-31,           4641,          1.044,            196,             39,          1.219,              7,
2020-04-01,           4877,          1.051,            236,             44,          1.128,              5,
2020-04-02,           5147,          1.055,            270,             50,          1.136,              6,
2020-04-03,           5370,          1.043,            223,             59,           1.18,              9,
2020-04-04,           5550,          1.034,            180,             62,          1.051,              3,
2020-04-05,           5687,          1.025,            137,             71,          1.145,              9,
2020-04-06,           5865,          1.031,            178,             76,           1.07,              5,
