"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,              2,               ,              2,               ,               ,               ,
2020-02-25,              4,            2.0,              2,               ,               ,               ,
2020-02-26,              4,            1.0,              0,               ,               ,               ,
2020-02-27,              6,            1.5,              2,               ,               ,               ,
2020-02-28,              6,            1.0,              0,               ,               ,               ,
2020-02-29,              6,            1.0,              0,               ,               ,               ,
2020-03-01,              6,            1.0,              0,               ,               ,               ,
2020-03-02,              6,            1.0,              0,               ,               ,               ,
2020-03-03,             12,            2.0,              6,               ,               ,               ,
2020-03-04,             15,           1.25,              3,               ,               ,               ,
2020-03-05,             16,          1.067,              1,               ,               ,               ,
2020-03-06,             16,            1.0,              0,               ,               ,               ,
2020-03-07,             16,            1.0,              0,               ,               ,               ,
2020-03-08,             16,            1.0,              0,               ,               ,               ,
2020-03-09,             18,          1.125,              2,               ,               ,               ,
2020-03-10,             18,            1.0,              0,               ,               ,               ,
2020-03-11,             18,            1.0,              0,               ,               ,               ,
2020-03-12,             18,            1.0,              0,               ,               ,               ,
2020-03-13,             19,          1.056,              1,               ,               ,               ,
2020-03-14,             20,          1.053,              1,               ,               ,               ,
2020-03-15,             22,            1.1,              2,               ,               ,               ,
2020-03-16,             24,          1.091,              2,               ,               ,               ,
2020-03-17,             33,          1.375,              9,               ,               ,               ,
2020-03-18,             39,          1.182,              6,               ,               ,               ,
2020-03-19,             48,          1.231,              9,               ,               ,               ,
2020-03-20,             48,            1.0,              0,               ,               ,               ,
2020-03-21,             52,          1.083,              4,               ,               ,               ,
2020-03-22,             55,          1.058,              3,               ,               ,               ,
2020-03-23,             66,            1.2,             11,               ,               ,               ,
2020-03-24,             84,          1.273,             18,               ,               ,               ,
2020-03-25,             99,          1.179,             15,               ,               ,               ,
2020-03-26,            109,          1.101,             10,               ,               ,               ,
2020-03-27,            131,          1.202,             22,               ,               ,               ,
2020-03-28,            152,           1.16,             21,               ,               ,               ,
2020-03-29,            167,          1.099,             15,               ,               ,               ,
2020-03-30,            179,          1.072,             12,               ,               ,               ,
2020-03-31,            192,          1.073,             13,              1,               ,              1,
2020-04-01,            210,          1.094,             18,              1,            1.0,              0,
2020-04-02,            231,            1.1,             21,              1,            1.0,              0,
2020-04-03,            252,          1.091,             21,              1,            1.0,              0,
