"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,              2,               ,              2,               ,               ,               ,
2020-02-27,              2,            1.0,              0,               ,               ,               ,
2020-02-28,              2,            1.0,              0,               ,               ,               ,
2020-02-29,              4,            2.0,              2,               ,               ,               ,
2020-03-01,              4,            1.0,              0,               ,               ,               ,
2020-03-02,              4,            1.0,              0,               ,               ,               ,
2020-03-03,              5,           1.25,              1,               ,               ,               ,
2020-03-04,              5,            1.0,              0,               ,               ,               ,
2020-03-05,              5,            1.0,              0,               ,               ,               ,
2020-03-06,              6,            1.2,              1,               ,               ,               ,
2020-03-07,              6,            1.0,              0,               ,               ,               ,
2020-03-08,              7,          1.167,              1,               ,               ,               ,
2020-03-09,             16,          2.286,              9,               ,               ,               ,
2020-03-10,             19,          1.188,              3,               ,               ,               ,
2020-03-11,             20,          1.053,              1,               ,               ,               ,
2020-03-12,             21,           1.05,              1,               ,               ,               ,
2020-03-13,             28,          1.333,              7,               ,               ,               ,
2020-03-14,             33,          1.179,              5,               ,               ,               ,
2020-03-15,             53,          1.606,             20,               ,               ,               ,
2020-03-16,            184,          3.472,            131,               ,               ,               ,
2020-03-17,            247,          1.342,             63,               ,               ,               ,
2020-03-18,            307,          1.243,             60,              2,               ,              2,
2020-03-19,            454,          1.479,            147,              2,            1.0,              0,
2020-03-20,            501,          1.104,             47,              3,            1.5,              1,
2020-03-21,            645,          1.287,            144,              3,            1.0,              0,
2020-03-22,            776,          1.203,            131,              5,          1.667,              2,
2020-03-23,            875,          1.128,             99,              6,            1.2,              1,
2020-03-24,            972,          1.111,             97,              7,          1.167,              1,
2020-03-25,           1063,          1.094,             91,              8,          1.143,              1,
2020-03-26,           1201,           1.13,            138,              9,          1.125,              1,
2020-03-27,           1373,          1.143,            172,             11,          1.222,              2,
2020-03-28,           1495,          1.089,            122,             12,          1.091,              1,
2020-03-29,           1597,          1.068,            102,             14,          1.167,              2,
2020-03-30,           1717,          1.075,            120,             21,            1.5,              7,
2020-03-31,           1938,          1.129,            221,             26,          1.238,              5,
2020-04-01,           2118,          1.093,            180,             27,          1.038,              1,
2020-04-02,           2421,          1.143,            303,             34,          1.259,              7,
2020-04-03,           2686,          1.109,            265,             40,          1.176,              6,
2020-04-04,           2818,          1.049,            132,             41,          1.025,              1,
2020-04-05,           3157,           1.12,            339,             47,          1.146,              6,
2020-04-06,           3766,          1.193,            609,             53,          1.128,              6,
