"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              1,              0,              1,              0,              0,              0,
2020-03-11,             14,           14.0,             13,              1,              0,              1,
2020-03-12,             14,            1.0,              0,              1,            1.0,              0,
2020-03-13,             27,          1.929,             13,              1,            1.0,              0,
2020-03-14,             43,          1.593,             16,              1,            1.0,              0,
2020-03-15,             55,          1.279,             12,              1,            1.0,              0,
2020-03-16,             69,          1.255,             14,              1,            1.0,              0,
2020-03-17,             69,            1.0,              0,              1,            1.0,              0,
2020-03-18,            109,           1.58,             40,              1,            1.0,              0,
2020-03-19,            137,          1.257,             28,              1,            1.0,              0,
2020-03-20,            200,           1.46,             63,              1,            1.0,              0,
2020-03-21,            245,          1.225,             45,              3,            3.0,              2,
2020-03-22,            313,          1.278,             68,              3,            1.0,              0,
2020-03-23,            345,          1.102,             32,              6,            2.0,              3,
2020-03-24,            443,          1.284,             98,              6,            1.0,              0,
2020-03-25,            558,           1.26,            115,              8,          1.333,              2,
2020-03-26,            674,          1.208,            116,              9,          1.125,              1,
2020-03-27,            786,          1.166,            112,             14,          1.556,              5,
2020-03-28,            901,          1.146,            115,             17,          1.214,              3,
2020-03-29,            989,          1.098,             88,             24,          1.412,              7,
2020-03-30,           1075,          1.087,             86,             27,          1.125,              3,
2020-03-31,           1181,          1.099,            106,             30,          1.111,              3,
2020-04-01,           1317,          1.115,            136,             32,          1.067,              2,
2020-04-02,           1475,           1.12,            158,             37,          1.156,              5,
2020-04-03,           1673,          1.134,            198,             41,          1.108,              4,
2020-04-04,           1801,          1.077,            128,             46,          1.122,              5,
2020-04-05,           1801,            1.0,              0,             46,            1.0,              0,
2020-04-06,           2100,          1.166,            299,             55,          1.196,              9,
2020-04-07,           2100,            1.0,              0,             55,            1.0,              0,
2020-04-08,           2528,          1.204,            428,             63,          1.145,              8,
2020-04-09,           2752,          1.089,            224,             66,          1.048,              3,
2020-04-10,           2974,          1.081,            222,             74,          1.121,              8,
