"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              1,              0,              1,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              2,            2.0,              1,              0,              0,              0,
2020-03-11,              5,            2.5,              3,              0,              0,              0,
2020-03-12,              6,            1.2,              1,              0,              0,              0,
2020-03-13,              6,            1.0,              0,              0,              0,              0,
2020-03-14,              7,          1.167,              1,              0,              0,              0,
2020-03-15,              8,          1.143,              1,              0,              0,              0,
2020-03-16,              8,            1.0,              0,              0,              0,              0,
2020-03-17,              9,          1.125,              1,              0,              0,              0,
2020-03-18,             11,          1.222,              2,              0,              0,              0,
2020-03-19,             13,          1.182,              2,              0,              0,              0,
2020-03-20,             18,          1.385,              5,              0,              0,              0,
2020-03-21,             22,          1.222,              4,              1,              0,              1,
2020-03-22,             22,            1.0,              0,              1,            1.0,              0,
2020-03-23,             22,            1.0,              0,              1,            1.0,              0,
2020-03-24,             27,          1.227,              5,              2,            2.0,              1,
2020-03-25,             37,           1.37,             10,              3,            1.5,              1,
2020-03-26,             41,          1.108,              4,              3,            1.0,              0,
2020-03-27,             52,          1.268,             11,              3,            1.0,              0,
2020-03-28,             56,          1.077,              4,              3,            1.0,              0,
2020-03-29,             59,          1.054,              3,              3,            1.0,              0,
2020-03-30,             64,          1.085,              5,              3,            1.0,              0,
2020-03-31,             65,          1.016,              1,              3,            1.0,              0,
2020-04-01,             69,          1.062,              4,              3,            1.0,              0,
2020-04-02,             77,          1.116,              8,              3,            1.0,              0,
2020-04-03,             92,          1.195,             15,              3,            1.0,              0,
2020-04-04,             96,          1.043,              4,              3,            1.0,              0,
2020-04-05,            104,          1.083,              8,              3,            1.0,              0,
2020-04-06,            113,          1.087,              9,              5,          1.667,              2,
2020-04-07,            115,          1.018,              2,              5,            1.0,              0,
2020-04-08,            119,          1.035,              4,              5,            1.0,              0,
2020-04-09,            124,          1.042,              5,              5,            1.0,              0,
2020-04-10,            129,           1.04,              5,              6,            1.2,              1,
