"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              1,              0,              1,              0,              0,              0,
2020-03-07,              6,            6.0,              5,              0,              0,              0,
2020-03-08,              7,          1.167,              1,              0,              0,              0,
2020-03-09,              9,          1.286,              2,              0,              0,              0,
2020-03-10,             11,          1.222,              2,              0,              0,              0,
2020-03-11,             17,          1.545,              6,              0,              0,              0,
2020-03-12,             22,          1.294,              5,              0,              0,              0,
2020-03-13,             38,          1.727,             16,              0,              0,              0,
2020-03-14,             43,          1.132,              5,              0,              0,              0,
2020-03-15,             71,          1.651,             28,              0,              0,              0,
2020-03-16,             86,          1.211,             15,              0,              0,              0,
2020-03-17,            117,           1.36,             31,              0,              0,              0,
2020-03-18,            145,          1.239,             28,              0,              0,              0,
2020-03-19,            234,          1.614,             89,              1,              0,              1,
2020-03-20,            263,          1.124,             29,              4,            4.0,              3,
2020-03-21,            318,          1.209,             55,              5,           1.25,              1,
2020-03-22,            363,          1.142,             45,              5,            1.0,              0,
2020-03-23,            395,          1.088,             32,              5,            1.0,              0,
2020-03-24,            416,          1.053,             21,              7,            1.4,              2,
2020-03-25,            480,          1.154,             64,              9,          1.286,              2,
2020-03-26,            580,          1.208,            100,              9,            1.0,              0,
2020-03-27,            635,          1.095,             55,             11,          1.222,              2,
2020-03-28,            671,          1.057,             36,             16,          1.455,              5,
2020-03-29,            852,           1.27,            181,             18,          1.125,              2,
2020-03-30,            950,          1.115,             98,             24,          1.333,              6,
2020-03-31,           1065,          1.121,            115,             30,           1.25,              6,
2020-04-01,           1323,          1.242,            258,             38,          1.267,              8,
2020-04-02,           1414,          1.069,             91,             55,          1.447,             17,
2020-04-03,           1595,          1.128,            181,             61,          1.109,              6,
2020-04-04,           1746,          1.095,            151,             73,          1.197,             12,
2020-04-05,           2281,          1.306,            535,             83,          1.137,             10,
2020-04-06,           2561,          1.123,            280,             92,          1.108,              9,
2020-04-07,           2954,          1.153,            393,            107,          1.163,             15,
2020-04-08,           4342,           1.47,           1388,            121,          1.131,             14,
2020-04-09,           5256,          1.211,            914,            138,           1.14,             17,
2020-04-10,           5897,          1.122,            641,            169,          1.225,             31,
