"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              3,               ,              3,              1,               ,              1,
2020-02-16,              3,            1.0,              0,              1,            1.0,              0,
2020-02-17,              3,            1.0,              0,              1,            1.0,              0,
2020-02-18,              3,            1.0,              0,              1,            1.0,              0,
2020-02-19,              3,            1.0,              0,              1,            1.0,              0,
2020-02-20,              3,            1.0,              0,              1,            1.0,              0,
2020-02-21,              3,            1.0,              0,              1,            1.0,              0,
2020-02-22,              3,            1.0,              0,              1,            1.0,              0,
2020-02-23,              3,            1.0,              0,              1,            1.0,              0,
2020-02-24,              3,            1.0,              0,              1,            1.0,              0,
2020-02-25,              3,            1.0,              0,              1,            1.0,              0,
2020-02-26,              3,            1.0,              0,              1,            1.0,              0,
2020-02-27,              3,            1.0,              0,              1,            1.0,              0,
2020-02-28,              3,            1.0,              0,              1,            1.0,              0,
2020-02-29,              3,            1.0,              0,              1,            1.0,              0,
2020-03-01,              3,            1.0,              0,              1,            1.0,              0,
2020-03-02,              3,            1.0,              0,              1,            1.0,              0,
2020-03-03,              3,            1.0,              0,              1,            1.0,              0,
2020-03-04,              3,            1.0,              0,              1,            1.0,              0,
2020-03-05,              3,            1.0,              0,              1,            1.0,              0,
2020-03-06,              5,          1.667,              2,              1,            1.0,              0,
2020-03-07,              6,            1.2,              1,              1,            1.0,              0,
2020-03-08,             10,          1.667,              4,              1,            1.0,              0,
2020-03-09,             24,            2.4,             14,              1,            1.0,              0,
2020-03-10,             33,          1.375,              9,              1,            1.0,              0,
2020-03-11,             49,          1.485,             16,              2,            2.0,              1,
2020-03-12,             52,          1.061,              3,              5,            2.5,              3,
2020-03-13,             64,          1.231,             12,              5,            1.0,              0,
2020-03-14,            111,          1.734,             47,              8,            1.6,              3,
2020-03-15,            140,          1.261,             29,             12,            1.5,              4,
2020-03-16,            142,          1.014,              2,             12,            1.0,              0,
2020-03-17,            187,          1.317,             45,             14,          1.167,              2,
2020-03-18,            202,           1.08,             15,             17,          1.214,              3,
2020-03-19,            217,          1.074,             15,             17,            1.0,              0,
2020-03-20,            230,           1.06,             13,             18,          1.059,              1,
2020-03-21,            307,          1.335,             77,             19,          1.056,              1,
2020-03-22,            380,          1.238,             73,             25,          1.316,              6,
2020-03-23,            462,          1.216,             82,             33,           1.32,              8,
2020-03-24,            552,          1.195,             90,             35,          1.061,              2,
2020-03-25,            636,          1.152,             84,             38,          1.086,              3,
2020-03-26,            707,          1.112,             71,             45,          1.184,              7,
2020-03-27,            803,          1.136,             96,             54,            1.2,              9,
2020-03-28,           1075,          1.339,            272,             68,          1.259,             14,
2020-03-29,           1418,          1.319,            343,             71,          1.044,              3,
2020-03-30,           1546,           1.09,            128,             78,          1.099,              7,
2020-03-31,           2084,          1.348,            538,             88,          1.128,             10,
2020-04-01,           2311,          1.109,            227,             96,          1.091,              8,
2020-04-02,           2633,          1.139,            322,            107,          1.115,             11,
2020-04-03,           3018,          1.146,            385,            136,          1.271,             29,
2020-04-04,           3094,          1.025,             76,            144,          1.059,              8,
