"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              1,              0,              1,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              5,            5.0,              4,              0,              0,              0,
2020-03-07,              6,            1.2,              1,              0,              0,              0,
2020-03-08,             11,          1.833,              5,              0,              0,              0,
2020-03-09,             17,          1.545,              6,              0,              0,              0,
2020-03-10,             22,          1.294,              5,              0,              0,              0,
2020-03-11,             31,          1.409,              9,              0,              0,              0,
2020-03-12,             51,          1.645,             20,              1,              0,              1,
2020-03-13,             68,          1.333,             17,              2,            2.0,              1,
2020-03-14,            104,          1.529,             36,              3,            1.5,              1,
2020-03-15,            125,          1.202,             21,              3,            1.0,              0,
2020-03-16,            177,          1.416,             52,              4,          1.333,              1,
2020-03-17,            238,          1.345,             61,              5,           1.25,              1,
2020-03-18,            287,          1.206,             49,              5,            1.0,              0,
2020-03-19,            355,          1.237,             68,              5,            1.0,              0,
2020-03-20,            425,          1.197,             70,              5,            1.0,              0,
2020-03-21,            536,          1.261,            111,              5,            1.0,              0,
2020-03-22,            634,          1.183,             98,              7,            1.4,              2,
2020-03-23,            749,          1.181,            115,              8,          1.143,              1,
2020-03-24,            901,          1.203,            152,             10,           1.25,              2,
2020-03-25,           1051,          1.166,            150,             14,            1.4,              4,
2020-03-26,           1221,          1.162,            170,             16,          1.143,              2,
2020-03-27,           1389,          1.138,            168,             16,            1.0,              0,
2020-03-28,           1638,          1.179,            249,             18,          1.125,              2,
2020-03-29,           1862,          1.137,            224,             22,          1.222,              4,
2020-03-30,           2055,          1.104,            193,             31,          1.409,              9,
2020-03-31,           2311,          1.125,            256,             33,          1.065,              2,
2020-04-01,           2554,          1.105,            243,             43,          1.303,             10,
2020-04-02,           2946,          1.153,            392,             57,          1.326,             14,
2020-04-03,           3383,          1.148,            437,             71,          1.246,             14,
2020-04-04,           3627,          1.072,            244,             79,          1.113,              8,
2020-04-05,           4102,          1.131,            475,             94,           1.19,             15,
2020-04-06,           4413,          1.076,            311,            107,          1.138,             13,
2020-04-07,           4848,          1.099,            435,            129,          1.206,             22,
2020-04-08,           5205,          1.074,            357,            159,          1.233,             30,
2020-04-09,           5575,          1.071,            370,            174,          1.094,             15,
2020-04-10,           5955,          1.068,            380,            181,           1.04,              7,
