"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              2,              0,              2,              0,              0,              0,
2020-03-03,              4,            2.0,              2,              0,              0,              0,
2020-03-04,              6,            1.5,              2,              0,              0,              0,
2020-03-05,              9,            1.5,              3,              0,              0,              0,
2020-03-06,             13,          1.444,              4,              0,              0,              0,
2020-03-07,             21,          1.615,              8,              0,              0,              0,
2020-03-08,             30,          1.429,              9,              0,              0,              0,
2020-03-09,             39,            1.3,              9,              0,              0,              0,
2020-03-10,             41,          1.051,              2,              0,              0,              0,
2020-03-11,             61,          1.488,             20,              0,              0,              0,
2020-03-12,             78,          1.279,             17,              0,              0,              0,
2020-03-13,            112,          1.436,             34,              0,              0,              0,
2020-03-14,            169,          1.509,             57,              0,              0,              0,
2020-03-15,            245,           1.45,             76,              0,              0,              0,
2020-03-16,            331,          1.351,             86,              1,              0,              1,
2020-03-17,            448,          1.353,            117,              1,            1.0,              0,
2020-03-18,            642,          1.433,            194,              2,            2.0,              1,
2020-03-19,            786,          1.224,            144,              4,            2.0,              2,
2020-03-20,           1020,          1.298,            234,              6,            1.5,              2,
2020-03-21,           1280,          1.255,            260,             12,            2.0,              6,
2020-03-22,           1600,           1.25,            320,             14,          1.167,              2,
2020-03-23,           2060,          1.288,            460,             23,          1.643,              9,
2020-03-24,           2362,          1.147,            302,             33,          1.435,             10,
2020-03-25,           2995,          1.268,            633,             43,          1.303,             10,
2020-03-26,           3544,          1.183,            549,             60,          1.395,             17,
2020-03-27,           4268,          1.204,            724,             76,          1.267,             16,
2020-03-28,           5170,          1.211,            902,            100,          1.316,             24,
2020-03-29,           5962,          1.153,            792,            119,           1.19,             19,
2020-03-30,           6408,          1.075,            446,            140,          1.176,             21,
2020-03-31,           7443,          1.162,           1035,            160,          1.143,             20,
2020-04-01,           8251,          1.109,            808,            187,          1.169,             27,
2020-04-02,           9034,          1.095,            783,            209,          1.118,             22,
2020-04-03,           9886,          1.094,            852,            246,          1.177,             37,
2020-04-04,          10524,          1.065,            638,            266,          1.081,             20,
2020-04-05,          11278,          1.072,            754,            295,          1.109,             29,
2020-04-06,          11730,           1.04,            452,            311,          1.054,             16,
2020-04-07,          12442,          1.061,            712,            345,          1.109,             34,
2020-04-08,          13141,          1.056,            699,            380,          1.101,             35,
2020-04-09,          13956,          1.062,            815,            409,          1.076,             29,
2020-04-10,          15472,          1.109,           1516,            435,          1.064,             26,
