"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              1,              0,              1,              0,              0,              0,
2020-03-01,              3,            3.0,              2,              0,              0,              0,
2020-03-02,              7,          2.333,              4,              0,              0,              0,
2020-03-03,              8,          1.143,              1,              0,              0,              0,
2020-03-04,              8,            1.0,              0,              0,              0,              0,
2020-03-05,              8,            1.0,              0,              0,              0,              0,
2020-03-06,             11,          1.375,              3,              0,              0,              0,
2020-03-07,             12,          1.091,              1,              0,              0,              0,
2020-03-08,             15,           1.25,              3,              0,              0,              0,
2020-03-09,             18,            1.2,              3,              0,              0,              0,
2020-03-10,             24,          1.333,              6,              0,              0,              0,
2020-03-11,            262,         10.917,            238,              0,              0,              0,
2020-03-12,            262,            1.0,              0,              0,              0,              0,
2020-03-13,            320,          1.221,             58,              0,              0,              0,
2020-03-14,            337,          1.053,             17,              0,              0,              0,
2020-03-15,            401,           1.19,             64,              0,              0,              0,
2020-03-16,            439,          1.095,             38,              0,              0,              0,
2020-03-17,            442,          1.007,              3,              0,              0,              0,
2020-03-18,            452,          1.023,             10,              0,              0,              0,
2020-03-19,            460,          1.018,              8,              0,              0,              0,
2020-03-20,            470,          1.022,             10,              0,              0,              0,
2020-03-21,            481,          1.023,             11,              0,              0,              0,
2020-03-22,            494,          1.027,             13,              0,              0,              0,
2020-03-23,            501,          1.014,              7,              0,              0,              0,
2020-03-24,            526,           1.05,             25,              0,              0,              0,
2020-03-25,            537,          1.021,             11,              0,              0,              0,
2020-03-26,            549,          1.022,             12,              0,              0,              0,
2020-03-27,            562,          1.024,             13,              0,              0,              0,
2020-03-28,            590,           1.05,             28,              1,              0,              1,
2020-03-29,            634,          1.075,             44,              1,            1.0,              0,
2020-03-30,            693,          1.093,             59,              1,            1.0,              0,
2020-03-31,            781,          1.127,             88,              2,            2.0,              1,
2020-04-01,            835,          1.069,             54,              2,            1.0,              0,
2020-04-02,            949,          1.137,            114,              3,            1.5,              1,
2020-04-03,           1075,          1.133,            126,              3,            1.0,              0,
2020-04-04,           1325,          1.233,            250,              3,            1.0,              0,
2020-04-05,           1604,          1.211,            279,              4,          1.333,              1,
2020-04-06,           1832,          1.142,            228,              4,            1.0,              0,
2020-04-07,           2057,          1.123,            225,              6,            1.5,              2,
2020-04-08,           2210,          1.074,            153,              6,            1.0,              0,
2020-04-09,           2376,          1.075,            166,              6,            1.0,              0,
2020-04-10,           2512,          1.057,            136,              6,            1.0,              0,
