"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              1,              0,              1,              0,              0,              0,
2020-03-12,              4,            4.0,              3,              0,              0,              0,
2020-03-13,              5,           1.25,              1,              0,              0,              0,
2020-03-14,              6,            1.2,              1,              0,              0,              0,
2020-03-15,              7,          1.167,              1,              0,              0,              0,
2020-03-16,              9,          1.286,              2,              0,              0,              0,
2020-03-17,              9,            1.0,              0,              0,              0,              0,
2020-03-18,             14,          1.556,              5,              0,              0,              0,
2020-03-19,             28,            2.0,             14,              0,              0,              0,
2020-03-20,             38,          1.357,             10,              0,              0,              0,
2020-03-21,             47,          1.237,              9,              0,              0,              0,
2020-03-22,             64,          1.362,             17,              0,              0,              0,
2020-03-23,             71,          1.109,              7,              0,              0,              0,
2020-03-24,             94,          1.324,             23,              0,              0,              0,
2020-03-25,            111,          1.181,             17,              0,              0,              0,
2020-03-26,            135,          1.216,             24,              0,              0,              0,
2020-03-27,            145,          1.074,             10,              0,              0,              0,
2020-03-28,            183,          1.262,             38,              0,              0,              0,
2020-03-29,            183,            1.0,              0,              0,              0,              0,
2020-03-30,            224,          1.224,             41,              0,              0,              0,
2020-03-31,            247,          1.103,             23,              0,              0,              0,
2020-04-01,            281,          1.138,             34,              0,              0,              0,
2020-04-02,            308,          1.096,             27,              0,              0,              0,
2020-04-03,            321,          1.042,             13,              0,              0,              0,
2020-04-04,            334,           1.04,             13,              0,              0,              0,
2020-04-05,            344,           1.03,             10,              0,              0,              0,
2020-04-06,            349,          1.015,              5,              0,              0,              0,
2020-04-07,            358,          1.026,              9,              0,              0,              0,
2020-04-08,            362,          1.011,              4,              0,              0,              0,
2020-04-09,            362,            1.0,              0,              0,              0,              0,
2020-04-10,            382,          1.055,             20,              0,              0,              0,
