"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              1,              0,              1,              0,              0,              0,
2020-02-27,              1,            1.0,              0,              0,              0,              0,
2020-02-28,              3,            3.0,              2,              0,              0,              0,
2020-02-29,              3,            1.0,              0,              0,              0,              0,
2020-03-01,              3,            1.0,              0,              0,              0,              0,
2020-03-02,              3,            1.0,              0,              0,              0,              0,
2020-03-03,              4,          1.333,              1,              0,              0,              0,
2020-03-04,              6,            1.5,              2,              0,              0,              0,
2020-03-05,              6,            1.0,              0,              0,              0,              0,
2020-03-06,              9,            1.5,              3,              0,              0,              0,
2020-03-07,             13,          1.444,              4,              0,              0,              0,
2020-03-08,             15,          1.154,              2,              0,              0,              0,
2020-03-09,             17,          1.133,              2,              0,              0,              0,
2020-03-10,             29,          1.706,             12,              0,              0,              0,
2020-03-11,             47,          1.621,             18,              0,              0,              0,
2020-03-12,             59,          1.255,             12,              0,              0,              0,
2020-03-13,             95,           1.61,             36,              0,              0,              0,
2020-03-14,            123,          1.295,             28,              0,              0,              0,
2020-03-15,            139,           1.13,             16,              0,              0,              0,
2020-03-16,            168,          1.209,             29,              0,              0,              0,
2020-03-17,            217,          1.292,             49,              0,              0,              0,
2020-03-18,            260,          1.198,             43,              0,              0,              0,
2020-03-19,            277,          1.065,             17,              0,              0,              0,
2020-03-20,            308,          1.112,             31,              0,              0,              0,
2020-03-21,            367,          1.192,             59,              0,              0,              0,
2020-03-22,            433,           1.18,             66,              3,              0,              3,
2020-03-23,            576,           1.33,            143,              7,          2.333,              4,
2020-03-24,            794,          1.378,            218,             12,          1.714,              5,
2020-03-25,            906,          1.141,            112,             17,          1.417,              5,
2020-03-26,           1029,          1.136,            123,             23,          1.353,              6,
2020-03-27,           1292,          1.256,            263,             26,           1.13,              3,
2020-03-28,           1452,          1.124,            160,             37,          1.423,             11,
2020-03-29,           1815,           1.25,            363,             43,          1.162,              6,
2020-03-30,           2109,          1.162,            294,             65,          1.512,             22,
2020-03-31,           2245,          1.064,            136,             82,          1.262,             17,
2020-04-01,           2460,          1.096,            215,             92,          1.122,             10,
2020-04-02,           2738,          1.113,            278,            115,           1.25,             23,
2020-04-03,           3183,          1.163,            445,            133,          1.157,             18,
2020-04-04,           3613,          1.135,            430,            146,          1.098,             13,
2020-04-05,           3864,          1.069,            251,            151,          1.034,              5,
2020-04-06,           4057,           1.05,            193,            176,          1.166,             25,
2020-04-07,           4417,          1.089,            360,            197,          1.119,             21,
2020-04-08,           4761,          1.078,            344,            220,          1.117,             23,
2020-04-09,           5202,          1.093,            441,            248,          1.127,             28,
2020-04-10,           5467,          1.051,            265,            270,          1.089,             22,
