"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              1,              0,              1,              0,              0,              0,
2020-03-15,              5,            5.0,              4,              0,              0,              0,
2020-03-16,              7,            1.4,              2,              0,              0,              0,
2020-03-17,              7,            1.0,              0,              0,              0,              0,
2020-03-18,             11,          1.571,              4,              0,              0,              0,
2020-03-19,             11,            1.0,              0,              0,              0,              0,
2020-03-20,             17,          1.545,              6,              0,              0,              0,
2020-03-21,             17,            1.0,              0,              0,              0,              0,
2020-03-22,             19,          1.118,              2,              0,              0,              0,
2020-03-23,             36,          1.895,             17,              0,              0,              0,
2020-03-24,             40,          1.111,              4,              0,              0,              0,
2020-03-25,             41,          1.025,              1,              0,              0,              0,
2020-03-26,             50,           1.22,              9,              0,              0,              0,
2020-03-27,             54,           1.08,              4,              0,              0,              0,
2020-03-28,             60,          1.111,              6,              0,              0,              0,
2020-03-29,             70,          1.167,             10,              0,              0,              0,
2020-03-30,             70,            1.0,              0,              0,              0,              0,
2020-03-31,             75,          1.071,              5,              0,              0,              0,
2020-04-01,             82,          1.093,              7,              0,              0,              0,
2020-04-02,             84,          1.024,              2,              0,              0,              0,
2020-04-03,             89,           1.06,              5,              0,              0,              0,
2020-04-04,            102,          1.146,             13,              0,              0,              0,
2020-04-05,            104,           1.02,              2,              0,              0,              0,
2020-04-06,            105,           1.01,              1,              0,              0,              0,
2020-04-07,            105,            1.0,              0,              0,              0,              0,
2020-04-08,            110,          1.048,              5,              0,              0,              0,
2020-04-09,            113,          1.027,              3,              0,              0,              0,
2020-04-10,            118,          1.044,              5,              0,              0,              0,
