"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,              1,               ,              1,               ,               ,               ,
2020-02-28,              1,            1.0,              0,               ,               ,               ,
2020-02-29,              1,            1.0,              0,               ,               ,               ,
2020-03-01,              9,            9.0,              8,              1,               ,              1,
2020-03-02,              9,            1.0,              0,              1,            1.0,              0,
2020-03-03,             11,          1.222,              2,              1,            1.0,              0,
2020-03-04,             17,          1.545,              6,              1,            1.0,              0,
2020-03-05,             22,          1.294,              5,              1,            1.0,              0,
2020-03-06,             24,          1.091,              2,              1,            1.0,              0,
2020-03-07,             27,          1.125,              3,              1,            1.0,              0,
2020-03-08,             37,           1.37,             10,              1,            1.0,              0,
2020-03-09,             51,          1.378,             14,              2,            2.0,              1,
2020-03-10,             62,          1.216,             11,              2,            1.0,              0,
2020-03-11,             69,          1.113,              7,              3,            1.5,              1,
2020-03-12,             72,          1.043,              3,              5,          1.667,              2,
2020-03-13,             80,          1.111,              8,              5,            1.0,              0,
2020-03-14,            101,          1.262,             21,              5,            1.0,              0,
2020-03-15,            109,          1.079,              8,              7,            1.4,              2,
2020-03-16,            109,            1.0,              0,              9,          1.286,              2,
2020-03-17,            119,          1.092,             10,             11,          1.222,              2,
2020-03-18,            140,          1.176,             21,             14,          1.273,              3,
2020-03-19,            144,          1.029,              4,             14,            1.0,              0,
2020-03-20,            151,          1.049,              7,             14,            1.0,              0,
2020-03-21,            160,           1.06,              9,             20,          1.429,              6,
2020-03-22,            175,          1.094,             15,             20,            1.0,              0,
2020-03-23,            187,          1.069,             12,             20,            1.0,              0,
2020-03-24,            187,            1.0,              0,             21,           1.05,              1,
2020-03-25,            208,          1.112,             21,             21,            1.0,              0,
2020-03-26,            208,            1.0,              0,             21,            1.0,              0,
2020-03-27,            223,          1.072,             15,             21,            1.0,              0,
2020-03-28,            224,          1.004,              1,             22,          1.048,              1,
2020-03-29,            224,            1.0,              0,             22,            1.0,              0,
2020-03-30,            230,          1.027,              6,             25,          1.136,              3,
2020-03-31,            236,          1.026,              6,             26,           1.04,              1,
2020-04-01,            236,            1.0,              0,             28,          1.077,              2,
2020-04-02,            245,          1.038,              9,             30,          1.071,              2,
2020-04-03,            251,          1.024,              6,             32,          1.067,              2,
