"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,              1,               ,              1,               ,               ,               ,
2020-03-03,              2,            2.0,              1,               ,               ,               ,
2020-03-04,              4,            2.0,              2,               ,               ,               ,
2020-03-05,              4,            1.0,              0,               ,               ,               ,
2020-03-06,              4,            1.0,              0,               ,               ,               ,
2020-03-07,              4,            1.0,              0,               ,               ,               ,
2020-03-08,              4,            1.0,              0,               ,               ,               ,
2020-03-09,              4,            1.0,              0,               ,               ,               ,
2020-03-10,              4,            1.0,              0,               ,               ,               ,
2020-03-11,              4,            1.0,              0,               ,               ,               ,
2020-03-12,             10,            2.5,              6,               ,               ,               ,
2020-03-13,             21,            2.1,             11,               ,               ,               ,
2020-03-14,             24,          1.143,              3,               ,               ,               ,
2020-03-15,             24,            1.0,              0,               ,               ,               ,
2020-03-16,             27,          1.125,              3,               ,               ,               ,
2020-03-17,             27,            1.0,              0,               ,               ,               ,
2020-03-18,             36,          1.333,              9,               ,               ,               ,
2020-03-19,             36,            1.0,              0,               ,               ,               ,
2020-03-20,             47,          1.306,             11,               ,               ,               ,
2020-03-21,             56,          1.191,              9,               ,               ,               ,
2020-03-22,             67,          1.196,             11,               ,               ,               ,
2020-03-23,             79,          1.179,             12,               ,               ,               ,
2020-03-24,             86,          1.089,              7,               ,               ,               ,
2020-03-25,             99,          1.151,             13,               ,               ,               ,
2020-03-26,            105,          1.061,              6,               ,               ,               ,
2020-03-27,            119,          1.133,             14,               ,               ,               ,
2020-03-28,            130,          1.092,             11,               ,               ,               ,
2020-03-29,            142,          1.092,             12,               ,               ,               ,
2020-03-30,            162,          1.141,             20,               ,               ,               ,
2020-03-31,            175,           1.08,             13,               ,               ,               ,
2020-04-01,            190,          1.086,             15,              1,               ,              1,
2020-04-02,            195,          1.026,              5,              1,            1.0,              0,
2020-04-03,            207,          1.062,             12,              1,            1.0,              0,
2020-04-04,            219,          1.058,             12,              2,            2.0,              1,
