"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,              1,               ,              1,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              2,            2.0,              1,               ,               ,               ,
2020-03-10,              5,            2.5,              3,               ,               ,               ,
2020-03-11,             18,            3.6,             13,               ,               ,               ,
2020-03-12,             24,          1.333,              6,               ,               ,               ,
2020-03-13,             35,          1.458,             11,               ,               ,               ,
2020-03-14,             46,          1.314,             11,               ,               ,               ,
2020-03-15,             48,          1.043,              2,               ,               ,               ,
2020-03-16,             57,          1.188,              9,               ,               ,               ,
2020-03-17,             72,          1.263,             15,               ,               ,               ,
2020-03-18,             89,          1.236,             17,               ,               ,               ,
2020-03-19,            103,          1.157,             14,               ,               ,               ,
2020-03-20,            135,          1.311,             32,              1,               ,              1,
2020-03-21,            171,          1.267,             36,              1,            1.0,              0,
2020-03-22,            222,          1.298,             51,              2,            2.0,              1,
2020-03-23,            249,          1.122,             27,              3,            1.5,              1,
2020-03-24,            303,          1.217,             54,              3,            1.0,              0,
2020-03-25,            384,          1.267,             81,              4,          1.333,              1,
2020-03-26,            457,           1.19,             73,              7,           1.75,              3,
2020-03-27,            528,          1.155,             71,              8,          1.143,              1,
2020-03-28,            659,          1.248,            131,             10,           1.25,              2,
2020-03-29,            741,          1.124,             82,             13,            1.3,              3,
2020-03-30,            785,          1.059,             44,             16,          1.231,              3,
2020-03-31,            900,          1.146,            115,             23,          1.438,              7,
2020-04-01,           1060,          1.178,            160,             28,          1.217,              5,
2020-04-02,           1171,          1.105,            111,             31,          1.107,              3,
2020-04-03,           1476,           1.26,            305,             39,          1.258,              8,
2020-04-04,           1624,            1.1,            148,             44,          1.128,              5,
2020-04-05,           1908,          1.175,            284,             51,          1.159,              7,
2020-04-06,           2200,          1.153,            292,             58,          1.137,              7,
