"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             72,               ,             72,               ,               ,               ,
2020-02-16,             75,          1.042,              3,               ,               ,               ,
2020-02-17,             77,          1.027,              2,               ,               ,               ,
2020-02-18,             81,          1.052,              4,               ,               ,               ,
2020-02-19,             84,          1.037,              3,               ,               ,               ,
2020-02-20,             85,          1.012,              1,               ,               ,               ,
2020-02-21,             86,          1.012,              1,               ,               ,               ,
2020-02-22,             89,          1.035,              3,               ,               ,               ,
2020-02-23,             89,            1.0,              0,               ,               ,               ,
2020-02-24,             90,          1.011,              1,               ,               ,               ,
2020-02-25,             91,          1.011,              1,               ,               ,               ,
2020-02-26,             93,          1.022,              2,               ,               ,               ,
2020-02-27,             96,          1.032,              3,               ,               ,               ,
2020-02-28,             98,          1.021,              2,               ,               ,               ,
2020-02-29,            102,          1.041,              4,               ,               ,               ,
2020-03-01,            106,          1.039,              4,               ,               ,               ,
2020-03-02,            108,          1.019,              2,               ,               ,               ,
2020-03-03,            110,          1.019,              2,               ,               ,               ,
2020-03-04,            112,          1.018,              2,               ,               ,               ,
2020-03-05,            117,          1.045,              5,               ,               ,               ,
2020-03-06,            130,          1.111,             13,               ,               ,               ,
2020-03-07,            138,          1.062,              8,               ,               ,               ,
2020-03-08,            150,          1.087,             12,               ,               ,               ,
2020-03-09,            160,          1.067,             10,               ,               ,               ,
2020-03-10,            166,          1.038,              6,               ,               ,               ,
2020-03-11,            178,          1.072,             12,               ,               ,               ,
2020-03-12,            187,          1.051,              9,               ,               ,               ,
2020-03-13,            200,           1.07,             13,               ,               ,               ,
2020-03-14,            212,           1.06,             12,               ,               ,               ,
2020-03-15,            226,          1.066,             14,               ,               ,               ,
2020-03-16,            243,          1.075,             17,               ,               ,               ,
2020-03-17,            266,          1.095,             23,               ,               ,               ,
2020-03-18,            313,          1.177,             47,               ,               ,               ,
2020-03-19,            345,          1.102,             32,               ,               ,               ,
2020-03-20,            385,          1.116,             40,               ,               ,               ,
2020-03-21,            432,          1.122,             47,              2,               ,              2,
2020-03-22,            455,          1.053,             23,              2,            1.0,              0,
2020-03-23,            509,          1.119,             54,              2,            1.0,              0,
2020-03-24,            558,          1.096,             49,              2,            1.0,              0,
2020-03-25,            631,          1.131,             73,              2,            1.0,              0,
2020-03-26,            683,          1.082,             52,              2,            1.0,              0,
2020-03-27,            732,          1.072,             49,              2,            1.0,              0,
2020-03-28,            802,          1.096,             70,              2,            1.0,              0,
2020-03-29,            844,          1.052,             42,              3,            1.5,              1,
2020-03-30,            879,          1.041,             35,              3,            1.0,              0,
2020-03-31,            926,          1.053,             47,              3,            1.0,              0,
2020-04-01,           1000,           1.08,             74,              3,            1.0,              0,
2020-04-02,           1049,          1.049,             49,              4,          1.333,              1,
2020-04-03,           1114,          1.062,             65,              5,           1.25,              1,
2020-04-04,           1189,          1.067,             75,              6,            1.2,              1,
2020-04-05,           1309,          1.101,            120,              6,            1.0,              0,
