"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,              1,               ,              1,               ,               ,               ,
2020-03-05,              6,            6.0,              5,               ,               ,               ,
2020-03-06,              8,          1.333,              2,               ,               ,               ,
2020-03-07,             12,            1.5,              4,               ,               ,               ,
2020-03-08,             16,          1.333,              4,               ,               ,               ,
2020-03-09,             25,          1.562,              9,               ,               ,               ,
2020-03-10,             34,           1.36,              9,               ,               ,               ,
2020-03-11,             57,          1.676,             23,               ,               ,               ,
2020-03-12,             96,          1.684,             39,               ,               ,               ,
2020-03-13,            141,          1.469,             45,               ,               ,               ,
2020-03-14,            181,          1.284,             40,              1,               ,              1,
2020-03-15,            219,           1.21,             38,              1,            1.0,              0,
2020-03-16,            253,          1.155,             34,              1,            1.0,              0,
2020-03-17,            275,          1.087,             22,              1,            1.0,              0,
2020-03-18,            286,           1.04,             11,              1,            1.0,              0,
2020-03-19,            319,          1.115,             33,              1,            1.0,              0,
2020-03-20,            341,          1.069,             22,              1,            1.0,              0,
2020-03-21,            383,          1.123,             42,              1,            1.0,              0,
2020-03-22,            414,          1.081,             31,              2,            2.0,              1,
2020-03-23,            442,          1.068,             28,              3,            1.5,              1,
2020-03-24,            480,          1.086,             38,              4,          1.333,              1,
2020-03-25,            528,            1.1,             48,              5,           1.25,              1,
2020-03-26,            562,          1.064,             34,              6,            1.2,              1,
2020-03-27,            632,          1.125,             70,              9,            1.5,              3,
2020-03-28,            684,          1.082,             52,              9,            1.0,              0,
2020-03-29,            730,          1.067,             46,             11,          1.222,              2,
2020-03-30,            756,          1.036,             26,             11,            1.0,              0,
2020-03-31,            802,          1.061,             46,             15,          1.364,              4,
2020-04-01,            841,          1.049,             39,             15,            1.0,              0,
2020-04-02,            897,          1.067,             56,             17,          1.133,              2,
2020-04-03,            934,          1.041,             37,             20,          1.176,              3,
2020-04-04,            977,          1.046,             43,             22,            1.1,              2,
2020-04-05,            997,           1.02,             20,             28,          1.273,              6,
2020-04-06,           1021,          1.024,             24,             30,          1.071,              2,
