"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              1,              0,              1,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              2,            2.0,              1,              0,              0,              0,
2020-03-08,              3,            1.5,              1,              0,              0,              0,
2020-03-09,              7,          2.333,              4,              0,              0,              0,
2020-03-10,              7,            1.0,              0,              0,              0,              0,
2020-03-11,             13,          1.857,              6,              0,              0,              0,
2020-03-12,             16,          1.231,              3,              0,              0,              0,
2020-03-13,             24,            1.5,              8,              0,              0,              0,
2020-03-14,             38,          1.583,             14,              0,              0,              0,
2020-03-15,             61,          1.605,             23,              0,              0,              0,
2020-03-16,             64,          1.049,              3,              0,              0,              0,
2020-03-17,             85,          1.328,             21,              0,              0,              0,
2020-03-18,            116,          1.365,             31,              0,              0,              0,
2020-03-19,            150,          1.293,             34,              0,              0,              0,
2020-03-20,            202,          1.347,             52,              0,              0,              0,
2020-03-21,            240,          1.188,             38,              0,              0,              0,
2020-03-22,            274,          1.142,             34,              0,              0,              0,
2020-03-23,            402,          1.467,            128,              0,              0,              0,
2020-03-24,            554,          1.378,            152,              0,              0,              0,
2020-03-25,            709,           1.28,            155,              0,              0,              0,
2020-03-26,            927,          1.307,            218,              0,              0,              0,
2020-03-27,           1170,          1.262,            243,              1,              0,              1,
2020-03-28,           1187,          1.015,             17,              1,            1.0,              0,
2020-03-29,           1280,          1.078,             93,              2,            2.0,              1,
2020-03-30,           1326,          1.036,             46,              3,            1.5,              1,
2020-03-31,           1353,           1.02,             27,              5,          1.667,              2,
2020-04-01,           1380,           1.02,             27,              5,            1.0,              0,
2020-04-02,           1462,          1.059,             82,              5,            1.0,              0,
2020-04-03,           1505,          1.029,             43,              9,            1.8,              4,
2020-04-04,           1585,          1.053,             80,              9,            1.0,              0,
2020-04-05,           1655,          1.044,             70,             11,          1.222,              2,
2020-04-06,           1686,          1.019,             31,             12,          1.091,              1,
2020-04-07,           1749,          1.037,             63,             13,          1.083,              1,
2020-04-08,           1845,          1.055,             96,             18,          1.385,              5,
2020-04-09,           1934,          1.048,             89,             18,            1.0,              0,
2020-04-10,           2003,          1.036,             69,             24,          1.333,              6,
