"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             28,               ,             28,               ,               ,               ,
2020-02-16,             29,          1.036,              1,               ,               ,               ,
2020-02-17,             30,          1.034,              1,               ,               ,               ,
2020-02-18,             31,          1.033,              1,               ,               ,               ,
2020-02-19,             58,          1.871,             27,               ,               ,               ,
2020-02-20,            111,          1.914,             53,              1,               ,              1,
2020-02-21,            209,          1.883,             98,              2,            2.0,              1,
2020-02-22,            436,          2.086,            227,              2,            1.0,              0,
2020-02-23,            602,          1.381,            166,              6,            3.0,              4,
2020-02-24,            833,          1.384,            231,              8,          1.333,              2,
2020-02-25,            977,          1.173,            144,             11,          1.375,              3,
2020-02-26,           1261,          1.291,            284,             12,          1.091,              1,
2020-02-27,           1766,            1.4,            505,             13,          1.083,              1,
2020-02-28,           2337,          1.323,            571,             16,          1.231,              3,
2020-02-29,           3150,          1.348,            813,             17,          1.062,              1,
2020-03-01,           3736,          1.186,            586,             21,          1.235,              4,
2020-03-02,           4335,           1.16,            599,             28,          1.333,              7,
2020-03-03,           5186,          1.196,            851,             32,          1.143,              4,
2020-03-04,           5621,          1.084,            435,             35,          1.094,              3,
2020-03-05,           6284,          1.118,            663,             42,            1.2,              7,
2020-03-06,           6593,          1.049,            309,             43,          1.024,              1,
2020-03-07,           7041,          1.068,            448,             48,          1.116,              5,
2020-03-08,           7313,          1.039,            272,             50,          1.042,              2,
2020-03-09,           7478,          1.023,            165,             53,           1.06,              3,
2020-03-10,           7513,          1.005,             35,             60,          1.132,              7,
2020-03-11,           7755,          1.032,            242,             60,            1.0,              0,
2020-03-12,           7869,          1.015,            114,             66,            1.1,              6,
2020-03-13,           7979,          1.014,            110,             67,          1.015,              1,
2020-03-14,           8086,          1.013,            107,             72,          1.075,              5,
2020-03-15,           8162,          1.009,             76,             75,          1.042,              3,
2020-03-16,           8236,          1.009,             74,             75,            1.0,              0,
2020-03-17,           8320,           1.01,             84,             81,           1.08,              6,
2020-03-18,           8413,          1.011,             93,             84,          1.037,              3,
2020-03-19,           8565,          1.018,            152,             91,          1.083,              7,
2020-03-20,           8652,           1.01,             87,             94,          1.033,              3,
2020-03-21,           8799,          1.017,            147,            102,          1.085,              8,
2020-03-22,           8897,          1.011,             98,            104,           1.02,              2,
2020-03-23,           8961,          1.007,             64,            111,          1.067,              7,
2020-03-24,           9037,          1.008,             76,            120,          1.081,              9,
2020-03-25,           9137,          1.011,            100,            126,           1.05,              6,
2020-03-26,           9241,          1.011,            104,            131,           1.04,              5,
2020-03-27,           9332,           1.01,             91,            139,          1.061,              8,
2020-03-28,           9478,          1.016,            146,            144,          1.036,              5,
2020-03-29,           9583,          1.011,            105,            152,          1.056,              8,
2020-03-30,           9661,          1.008,             78,            158,          1.039,              6,
2020-03-31,           9786,          1.013,            125,            162,          1.025,              4,
2020-04-01,           9887,           1.01,            101,            165,          1.019,              3,
2020-04-02,           9976,          1.009,             89,            169,          1.024,              4,
2020-04-03,          10062,          1.009,             86,            174,           1.03,              5,
