"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              1,              0,              1,              0,              0,              0,
2020-02-16,              1,            1.0,              0,              0,              0,              0,
2020-02-17,              1,            1.0,              0,              0,              0,              0,
2020-02-18,              1,            1.0,              0,              0,              0,              0,
2020-02-19,              1,            1.0,              0,              0,              0,              0,
2020-02-20,              1,            1.0,              0,              0,              0,              0,
2020-02-21,              1,            1.0,              0,              0,              0,              0,
2020-02-22,              1,            1.0,              0,              0,              0,              0,
2020-02-23,              1,            1.0,              0,              0,              0,              0,
2020-02-24,              1,            1.0,              0,              0,              0,              0,
2020-02-25,              1,            1.0,              0,              0,              0,              0,
2020-02-26,              1,            1.0,              0,              0,              0,              0,
2020-02-27,              1,            1.0,              0,              0,              0,              0,
2020-02-28,              1,            1.0,              0,              0,              0,              0,
2020-02-29,              1,            1.0,              0,              0,              0,              0,
2020-03-01,              1,            1.0,              0,              0,              0,              0,
2020-03-02,              1,            1.0,              0,              0,              0,              0,
2020-03-03,              1,            1.0,              0,              0,              0,              0,
2020-03-04,              1,            1.0,              0,              0,              0,              0,
2020-03-05,              1,            1.0,              0,              0,              0,              0,
2020-03-06,              1,            1.0,              0,              0,              0,              0,
2020-03-07,              1,            1.0,              0,              0,              0,              0,
2020-03-08,              1,            1.0,              0,              0,              0,              0,
2020-03-09,              1,            1.0,              0,              0,              0,              0,
2020-03-10,              1,            1.0,              0,              0,              0,              0,
2020-03-11,              2,            2.0,              1,              0,              0,              0,
2020-03-12,              3,            1.5,              1,              0,              0,              0,
2020-03-13,              6,            2.0,              3,              0,              0,              0,
2020-03-14,             10,          1.667,              4,              0,              0,              0,
2020-03-15,             18,            1.8,              8,              0,              0,              0,
2020-03-16,             28,          1.556,             10,              0,              0,              0,
2020-03-17,             44,          1.571,             16,              0,              0,              0,
2020-03-18,             51,          1.159,              7,              0,              0,              0,
2020-03-19,             60,          1.176,              9,              0,              0,              0,
2020-03-20,             73,          1.217,             13,              0,              0,              0,
2020-03-21,             77,          1.055,              4,              0,              0,              0,
2020-03-22,             82,          1.065,              5,              0,              0,              0,
2020-03-23,             97,          1.183,             15,              0,              0,              0,
2020-03-24,            102,          1.052,              5,              0,              0,              0,
2020-03-25,            102,            1.0,              0,              0,              0,              0,
2020-03-26,            106,          1.039,              4,              0,              0,              0,
2020-03-27,            106,            1.0,              0,              0,              0,              0,
2020-03-28,            113,          1.066,              7,              1,              0,              1,
2020-03-29,            117,          1.035,              4,              1,            1.0,              0,
2020-03-30,            122,          1.043,              5,              2,            2.0,              1,
2020-03-31,            143,          1.172,             21,              2,            1.0,              0,
2020-04-01,            146,          1.021,              3,              3,            1.5,              1,
2020-04-02,            151,          1.034,              5,              4,          1.333,              1,
2020-04-03,            159,          1.053,              8,              4,            1.0,              0,
2020-04-04,            166,          1.044,              7,              5,           1.25,              1,
2020-04-05,            176,           1.06,             10,              5,            1.0,              0,
2020-04-06,            178,          1.011,              2,              5,            1.0,              0,
2020-04-07,            185,          1.039,              7,              6,            1.2,              1,
2020-04-08,            189,          1.022,              4,              7,          1.167,              1,
2020-04-09,            190,          1.005,              1,              7,            1.0,              0,
2020-04-10,            190,            1.0,              0,              7,            1.0,              0,
