"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              7,              0,              7,              0,              0,              0,
2020-03-06,             16,          2.286,              9,              0,              0,              0,
2020-03-07,             19,          1.188,              3,              0,              0,              0,
2020-03-08,             19,            1.0,              0,              0,              0,              0,
2020-03-09,             25,          1.316,              6,              0,              0,              0,
2020-03-10,             29,           1.16,              4,              0,              0,              0,
2020-03-11,             30,          1.034,              1,              0,              0,              0,
2020-03-12,             31,          1.033,              1,              0,              0,              0,
2020-03-13,             35,          1.129,              4,              0,              0,              0,
2020-03-14,             38,          1.086,              3,              0,              0,              0,
2020-03-15,             38,            1.0,              0,              0,              0,              0,
2020-03-16,             39,          1.026,              1,              0,              0,              0,
2020-03-17,             44,          1.128,              5,              0,              0,              0,
2020-03-18,             44,            1.0,              0,              0,              0,              0,
2020-03-19,             47,          1.068,              3,              0,              0,              0,
2020-03-20,             48,          1.021,              1,              0,              0,              0,
2020-03-21,             53,          1.104,              5,              0,              0,              0,
2020-03-22,             59,          1.113,              6,              0,              0,              0,
2020-03-23,             59,            1.0,              0,              0,              0,              0,
2020-03-24,             60,          1.017,              1,              0,              0,              0,
2020-03-25,             71,          1.183,             11,              1,              0,              1,
2020-03-26,             86,          1.211,             15,              1,            1.0,              0,
2020-03-27,             91,          1.058,              5,              1,            1.0,              0,
2020-03-28,            104,          1.143,             13,              1,            1.0,              0,
2020-03-29,            109,          1.048,              5,              1,            1.0,              0,
2020-03-30,            117,          1.073,              8,              1,            1.0,              0,
2020-03-31,            119,          1.017,              2,              1,            1.0,              0,
2020-04-01,            134,          1.126,             15,              1,            1.0,              0,
2020-04-02,            161,          1.201,             27,              1,            1.0,              0,
2020-04-03,            194,          1.205,             33,              1,            1.0,              0,
2020-04-04,            217,          1.119,             23,              1,            1.0,              0,
2020-04-05,            237,          1.092,             20,              1,            1.0,              0,
2020-04-06,            254,          1.072,             17,              1,            1.0,              0,
2020-04-07,            261,          1.028,              7,              1,            1.0,              0,
2020-04-08,            263,          1.008,              2,              1,            1.0,              0,
2020-04-09,            263,            1.0,              0,              1,            1.0,              0,
2020-04-10,            267,          1.015,              4,              2,            2.0,              1,
