"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             18,               ,             18,               ,               ,               ,
2020-02-16,             20,          1.111,              2,              1,               ,              1,
2020-02-17,             22,            1.1,              2,              1,            1.0,              0,
2020-02-18,             22,            1.0,              0,              1,            1.0,              0,
2020-02-19,             23,          1.045,              1,              1,            1.0,              0,
2020-02-20,             24,          1.043,              1,              1,            1.0,              0,
2020-02-21,             26,          1.083,              2,              1,            1.0,              0,
2020-02-22,             26,            1.0,              0,              1,            1.0,              0,
2020-02-23,             28,          1.077,              2,              1,            1.0,              0,
2020-02-24,             30,          1.071,              2,              1,            1.0,              0,
2020-02-25,             31,          1.033,              1,              1,            1.0,              0,
2020-02-26,             32,          1.032,              1,              1,            1.0,              0,
2020-02-27,             32,            1.0,              0,              1,            1.0,              0,
2020-02-28,             34,          1.062,              2,              1,            1.0,              0,
2020-02-29,             39,          1.147,              5,              1,            1.0,              0,
2020-03-01,             40,          1.026,              1,              1,            1.0,              0,
2020-03-02,             41,          1.025,              1,              1,            1.0,              0,
2020-03-03,             42,          1.024,              1,              1,            1.0,              0,
2020-03-04,             42,            1.0,              0,              1,            1.0,              0,
2020-03-05,             44,          1.048,              2,              1,            1.0,              0,
2020-03-06,             45,          1.023,              1,              1,            1.0,              0,
2020-03-07,             45,            1.0,              0,              1,            1.0,              0,
2020-03-08,             45,            1.0,              0,              1,            1.0,              0,
2020-03-09,             45,            1.0,              0,              1,            1.0,              0,
2020-03-10,             47,          1.044,              2,              1,            1.0,              0,
2020-03-11,             48,          1.021,              1,              1,            1.0,              0,
2020-03-12,             49,          1.021,              1,              1,            1.0,              0,
2020-03-13,             50,           1.02,              1,              1,            1.0,              0,
2020-03-14,             53,           1.06,              3,              1,            1.0,              0,
2020-03-15,             59,          1.113,              6,              1,            1.0,              0,
2020-03-16,             67,          1.136,              8,              1,            1.0,              0,
2020-03-17,             77,          1.149,             10,              1,            1.0,              0,
2020-03-18,            100,          1.299,             23,              1,            1.0,              0,
2020-03-19,            108,           1.08,              8,              1,            1.0,              0,
2020-03-20,            135,           1.25,             27,              2,            2.0,              1,
2020-03-21,            153,          1.133,             18,              2,            1.0,              0,
2020-03-22,            169,          1.105,             16,              2,            1.0,              0,
2020-03-23,            195,          1.154,             26,              2,            1.0,              0,
2020-03-24,            216,          1.108,             21,              2,            1.0,              0,
2020-03-25,            235,          1.088,             19,              2,            1.0,              0,
2020-03-26,            252,          1.072,             17,              2,            1.0,              0,
2020-03-27,            267,           1.06,             15,              2,            1.0,              0,
2020-03-28,            283,           1.06,             16,              2,            1.0,              0,
2020-03-29,            298,          1.053,             15,              3,            1.5,              1,
2020-03-30,            306,          1.027,              8,              5,          1.667,              2,
2020-03-31,            322,          1.052,             16,              5,            1.0,              0,
2020-04-01,            329,          1.022,              7,              5,            1.0,              0,
2020-04-02,            339,           1.03,             10,              5,            1.0,              0,
2020-04-03,            348,          1.027,              9,              5,            1.0,              0,
2020-04-04,            355,           1.02,              7,              5,            1.0,              0,
2020-04-05,            363,          1.023,              8,              5,            1.0,              0,
