"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              1,              0,              1,              0,              0,              0,
2020-03-17,              1,            1.0,              0,              0,              0,              0,
2020-03-18,              3,            3.0,              2,              0,              0,              0,
2020-03-19,              6,            2.0,              3,              0,              0,              0,
2020-03-20,              6,            1.0,              0,              0,              0,              0,
2020-03-21,              6,            1.0,              0,              0,              0,              0,
2020-03-22,             12,            2.0,              6,              0,              0,              0,
2020-03-23,             12,            1.0,              0,              0,              0,              0,
2020-03-24,             12,            1.0,              0,              0,              0,              0,
2020-03-25,             13,          1.083,              1,              0,              0,              0,
2020-03-26,             13,            1.0,              0,              0,              0,              0,
2020-03-27,             13,            1.0,              0,              0,              0,              0,
2020-03-28,             14,          1.077,              1,              0,              0,              0,
2020-03-29,             14,            1.0,              0,              0,              0,              0,
2020-03-30,             19,          1.357,              5,              0,              0,              0,
2020-03-31,             19,            1.0,              0,              1,              0,              1,
2020-04-01,             20,          1.053,              1,              1,            1.0,              0,
2020-04-02,             20,            1.0,              0,              1,            1.0,              0,
2020-04-03,             20,            1.0,              0,              1,            1.0,              0,
2020-04-04,             20,            1.0,              0,              1,            1.0,              0,
2020-04-05,             22,            1.1,              2,              1,            1.0,              0,
2020-04-06,             24,          1.091,              2,              1,            1.0,              0,
2020-04-07,             24,            1.0,              0,              1,            1.0,              0,
2020-04-08,             25,          1.042,              1,              1,            1.0,              0,
2020-04-09,             25,            1.0,              0,              1,            1.0,              0,
2020-04-10,             32,           1.28,              7,              3,            3.0,              2,
