"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             34,               ,             34,               ,               ,               ,
2020-02-16,             34,            1.0,              0,               ,               ,               ,
2020-02-17,             35,          1.029,              1,               ,               ,               ,
2020-02-18,             35,            1.0,              0,               ,               ,               ,
2020-02-19,             35,            1.0,              0,               ,               ,               ,
2020-02-20,             35,            1.0,              0,               ,               ,               ,
2020-02-21,             35,            1.0,              0,               ,               ,               ,
2020-02-22,             35,            1.0,              0,               ,               ,               ,
2020-02-23,             35,            1.0,              0,               ,               ,               ,
2020-02-24,             35,            1.0,              0,               ,               ,               ,
2020-02-25,             37,          1.057,              2,               ,               ,               ,
2020-02-26,             40,          1.081,              3,               ,               ,               ,
2020-02-27,             40,            1.0,              0,               ,               ,               ,
2020-02-28,             41,          1.025,              1,               ,               ,               ,
2020-02-29,             42,          1.024,              1,               ,               ,               ,
2020-03-01,             42,            1.0,              0,              1,               ,              1,
2020-03-02,             43,          1.024,              1,              1,            1.0,              0,
2020-03-03,             43,            1.0,              0,              1,            1.0,              0,
2020-03-04,             43,            1.0,              0,              1,            1.0,              0,
2020-03-05,             47,          1.093,              4,              1,            1.0,              0,
2020-03-06,             48,          1.021,              1,              1,            1.0,              0,
2020-03-07,             50,          1.042,              2,              1,            1.0,              0,
2020-03-08,             50,            1.0,              0,              1,            1.0,              0,
2020-03-09,             50,            1.0,              0,              1,            1.0,              0,
2020-03-10,             53,           1.06,              3,              1,            1.0,              0,
2020-03-11,             59,          1.113,              6,              1,            1.0,              0,
2020-03-12,             70,          1.186,             11,              1,            1.0,              0,
2020-03-13,             75,          1.071,              5,              1,            1.0,              0,
2020-03-14,             82,          1.093,              7,              1,            1.0,              0,
2020-03-15,            114,           1.39,             32,              1,            1.0,              0,
2020-03-16,            147,          1.289,             33,              1,            1.0,              0,
2020-03-17,            177,          1.204,             30,              1,            1.0,              0,
2020-03-18,            212,          1.198,             35,              1,            1.0,              0,
2020-03-19,            272,          1.283,             60,              1,            1.0,              0,
2020-03-20,            322,          1.184,             50,              1,            1.0,              0,
2020-03-21,            411,          1.276,             89,              1,            1.0,              0,
2020-03-22,            599,          1.457,            188,              1,            1.0,              0,
2020-03-23,            721,          1.204,            122,              1,            1.0,              0,
2020-03-24,            827,          1.147,            106,              4,            4.0,              3,
2020-03-25,            934,          1.129,            107,              4,            1.0,              0,
2020-03-26,           1045,          1.119,            111,              4,            1.0,              0,
2020-03-27,           1136,          1.087,             91,              5,           1.25,              1,
2020-03-28,           1245,          1.096,            109,              6,            1.2,              1,
2020-03-29,           1388,          1.115,            143,              7,          1.167,              1,
2020-03-30,           1524,          1.098,            136,              9,          1.286,              2,
2020-03-31,           1651,          1.083,            127,             10,          1.111,              1,
2020-04-01,           1771,          1.073,            120,             12,            1.2,              2,
2020-04-02,           1875,          1.059,            104,             15,           1.25,              3,
2020-04-03,           1978,          1.055,            103,             19,          1.267,              4,
2020-04-04,           2067,          1.045,             89,             20,          1.053,              1,
