"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,               ,               ,               ,               ,               ,               ,
2020-02-16,               ,               ,               ,               ,               ,               ,
2020-02-17,               ,               ,               ,               ,               ,               ,
2020-02-18,               ,               ,               ,               ,               ,               ,
2020-02-19,               ,               ,               ,               ,               ,               ,
2020-02-20,               ,               ,               ,               ,               ,               ,
2020-02-21,               ,               ,               ,               ,               ,               ,
2020-02-22,               ,               ,               ,               ,               ,               ,
2020-02-23,               ,               ,               ,               ,               ,               ,
2020-02-24,               ,               ,               ,               ,               ,               ,
2020-02-25,               ,               ,               ,               ,               ,               ,
2020-02-26,               ,               ,               ,               ,               ,               ,
2020-02-27,               ,               ,               ,               ,               ,               ,
2020-02-28,               ,               ,               ,               ,               ,               ,
2020-02-29,               ,               ,               ,               ,               ,               ,
2020-03-01,               ,               ,               ,               ,               ,               ,
2020-03-02,               ,               ,               ,               ,               ,               ,
2020-03-03,               ,               ,               ,               ,               ,               ,
2020-03-04,               ,               ,               ,               ,               ,               ,
2020-03-05,               ,               ,               ,               ,               ,               ,
2020-03-06,              1,               ,              1,               ,               ,               ,
2020-03-07,              1,            1.0,              0,               ,               ,               ,
2020-03-08,              1,            1.0,              0,               ,               ,               ,
2020-03-09,              1,            1.0,              0,               ,               ,               ,
2020-03-10,              1,            1.0,              0,               ,               ,               ,
2020-03-11,              1,            1.0,              0,               ,               ,               ,
2020-03-12,              1,            1.0,              0,               ,               ,               ,
2020-03-13,              1,            1.0,              0,               ,               ,               ,
2020-03-14,              1,            1.0,              0,               ,               ,               ,
2020-03-15,              1,            1.0,              0,               ,               ,               ,
2020-03-16,              1,            1.0,              0,               ,               ,               ,
2020-03-17,              1,            1.0,              0,               ,               ,               ,
2020-03-18,              1,            1.0,              0,               ,               ,               ,
2020-03-19,              1,            1.0,              0,               ,               ,               ,
2020-03-20,              9,            9.0,              8,               ,               ,               ,
2020-03-21,             16,          1.778,              7,               ,               ,               ,
2020-03-22,             16,            1.0,              0,               ,               ,               ,
2020-03-23,             18,          1.125,              2,               ,               ,               ,
2020-03-24,             20,          1.111,              2,               ,               ,               ,
2020-03-25,             23,           1.15,              3,               ,               ,               ,
2020-03-26,             24,          1.043,              1,               ,               ,               ,
2020-03-27,             25,          1.042,              1,              1,               ,              1,
2020-03-28,             25,            1.0,              0,              1,            1.0,              0,
2020-03-29,             25,            1.0,              0,              1,            1.0,              0,
2020-03-30,             30,            1.2,              5,              1,            1.0,              0,
2020-03-31,             34,          1.133,              4,              1,            1.0,              0,
2020-04-01,             36,          1.059,              2,              2,            2.0,              1,
2020-04-02,             39,          1.083,              3,              2,            1.0,              0,
2020-04-03,             40,          1.026,              1,              3,            1.5,              1,
2020-04-04,             41,          1.025,              1,              3,            1.0,              0,
2020-04-05,             44,          1.073,              3,              3,            1.0,              0,
