"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              1,              0,              1,              0,              0,              0,
2020-03-13,              1,            1.0,              0,              0,              0,              0,
2020-03-14,              2,            2.0,              1,              0,              0,              0,
2020-03-15,              2,            1.0,              0,              0,              0,              0,
2020-03-16,              4,            2.0,              2,              0,              0,              0,
2020-03-17,              5,           1.25,              1,              0,              0,              0,
2020-03-18,              7,            1.4,              2,              0,              0,              0,
2020-03-19,              9,          1.286,              2,              0,              0,              0,
2020-03-20,              9,            1.0,              0,              0,              0,              0,
2020-03-21,             49,          5.444,             40,              0,              0,              0,
2020-03-22,             50,           1.02,              1,              0,              0,              0,
2020-03-23,             51,           1.02,              1,              0,              0,              0,
2020-03-24,             57,          1.118,              6,              0,              0,              0,
2020-03-25,             60,          1.053,              3,              1,              0,              1,
2020-03-26,             65,          1.083,              5,              1,            1.0,              0,
2020-03-27,             66,          1.015,              1,              2,            2.0,              1,
2020-03-28,             76,          1.152,             10,              3,            1.5,              1,
2020-03-29,             78,          1.026,              2,              3,            1.0,              0,
2020-03-30,             83,          1.064,              5,              3,            1.0,              0,
2020-03-31,             87,          1.048,              4,              3,            1.0,              0,
2020-04-01,             90,          1.034,              3,              5,          1.667,              2,
2020-04-02,             94,          1.044,              4,              5,            1.0,              0,
2020-04-03,             98,          1.043,              4,              6,            1.2,              1,
2020-04-04,            103,          1.051,              5,              6,            1.0,              0,
2020-04-05,            104,           1.01,              1,              7,          1.167,              1,
2020-04-06,            105,           1.01,              1,              8,          1.143,              1,
2020-04-07,            107,          1.019,              2,              8,            1.0,              0,
2020-04-08,            107,            1.0,              0,              8,            1.0,              0,
2020-04-09,            109,          1.019,              2,              8,            1.0,              0,
2020-04-10,            109,            1.0,              0,              8,            1.0,              0,
