"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              0,              0,              0,              0,              0,              0,
2020-03-16,              0,              0,              0,              0,              0,              0,
2020-03-17,              0,              0,              0,              0,              0,              0,
2020-03-18,              0,              0,              0,              0,              0,              0,
2020-03-19,              0,              0,              0,              0,              0,              0,
2020-03-20,              0,              0,              0,              0,              0,              0,
2020-03-21,              1,              0,              1,              0,              0,              0,
2020-03-22,              1,            1.0,              0,              0,              0,              0,
2020-03-23,              9,            9.0,              8,              0,              0,              0,
2020-03-24,              9,            1.0,              0,              0,              0,              0,
2020-03-25,             14,          1.556,              5,              0,              0,              0,
2020-03-26,             14,            1.0,              0,              0,              0,              0,
2020-03-27,             23,          1.643,              9,              0,              0,              0,
2020-03-28,             30,          1.304,              7,              0,              0,              0,
2020-03-29,             33,            1.1,              3,              0,              0,              0,
2020-03-30,             33,            1.0,              0,              0,              0,              0,
2020-03-31,             44,          1.333,             11,              0,              0,              0,
2020-04-01,             44,            1.0,              0,              0,              0,              0,
2020-04-02,             45,          1.023,              1,              0,              0,              0,
2020-04-03,             48,          1.067,              3,              0,              0,              0,
2020-04-04,             48,            1.0,              0,              0,              0,              0,
2020-04-05,             52,          1.083,              4,              0,              0,              0,
2020-04-06,             52,            1.0,              0,              0,              0,              0,
2020-04-07,             52,            1.0,              0,              0,              0,              0,
2020-04-08,             53,          1.019,              1,              0,              0,              0,
2020-04-09,             53,            1.0,              0,              0,              0,              0,
2020-04-10,             53,            1.0,              0,              0,              0,              0,
