"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              9,               ,              9,               ,               ,               ,
2020-02-16,              9,            1.0,              0,               ,               ,               ,
2020-02-17,              9,            1.0,              0,               ,               ,               ,
2020-02-18,              9,            1.0,              0,               ,               ,               ,
2020-02-19,              9,            1.0,              0,               ,               ,               ,
2020-02-20,              9,            1.0,              0,               ,               ,               ,
2020-02-21,              9,            1.0,              0,               ,               ,               ,
2020-02-22,              9,            1.0,              0,               ,               ,               ,
2020-02-23,             13,          1.444,              4,               ,               ,               ,
2020-02-24,             13,            1.0,              0,               ,               ,               ,
2020-02-25,             13,            1.0,              0,               ,               ,               ,
2020-02-26,             13,            1.0,              0,               ,               ,               ,
2020-02-27,             16,          1.231,              3,               ,               ,               ,
2020-02-28,             20,           1.25,              4,               ,               ,               ,
2020-02-29,             23,           1.15,              3,               ,               ,               ,
2020-03-01,             36,          1.565,             13,               ,               ,               ,
2020-03-02,             39,          1.083,              3,               ,               ,               ,
2020-03-03,             51,          1.308,             12,               ,               ,               ,
2020-03-04,             87,          1.706,             36,               ,               ,               ,
2020-03-05,            116,          1.333,             29,              1,               ,              1,
2020-03-06,            164,          1.414,             48,              2,            2.0,              1,
2020-03-07,            209,          1.274,             45,              2,            1.0,              0,
2020-03-08,            278,           1.33,             69,              3,            1.5,              1,
2020-03-09,            321,          1.155,             43,              5,          1.667,              2,
2020-03-10,            383,          1.193,             62,              6,            1.2,              1,
2020-03-11,            460,          1.201,             77,              8,          1.333,              2,
2020-03-12,            590,          1.283,            130,             10,           1.25,              2,
2020-03-13,            798,          1.353,            208,             11,            1.1,              1,
2020-03-14,           1140,          1.429,            342,             21,          1.909,             10,
2020-03-15,           1391,           1.22,            251,             35,          1.667,             14,
2020-03-16,           1543,          1.109,            152,             55,          1.571,             20,
2020-03-17,           1950,          1.264,            407,             71,          1.291,             16,
2020-03-18,           2626,          1.347,            676,            104,          1.465,             33,
2020-03-19,           3269,          1.245,            643,            144,          1.385,             40,
2020-03-20,           3983,          1.218,            714,            177,          1.229,             33,
2020-03-21,           5018,           1.26,           1035,            233,          1.316,             56,
2020-03-22,           5683,          1.133,            665,            281,          1.206,             48,
2020-03-23,           6650,           1.17,            967,            335,          1.192,             54,
2020-03-24,           8077,          1.215,           1427,            422,           1.26,             87,
2020-03-25,           9529,           1.18,           1452,            463,          1.097,             41,
2020-03-26,          11658,          1.223,           2129,            578,          1.248,            115,
2020-03-27,          14543,          1.247,           2885,            759,          1.313,            181,
2020-03-28,          17089,          1.175,           2546,           1019,          1.343,            260,
2020-03-29,          19522,          1.142,           2433,           1228,          1.205,            209,
2020-03-30,          22141,          1.134,           2619,           1408,          1.147,            180,
2020-03-31,          25150,          1.136,           3009,           1789,          1.271,            381,
2020-04-01,          29474,          1.172,           4324,           2352,          1.315,            563,
2020-04-02,          33718,          1.144,           4244,           2921,          1.242,            569,
2020-04-03,          38168,          1.132,           4450,           3605,          1.234,            684,
2020-04-04,          41903,          1.098,           3735,           4313,          1.196,            708,
2020-04-05,          47806,          1.141,           5903,           4934,          1.144,            621,
