"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              8,               ,              8,               ,               ,               ,
2020-02-16,              9,          1.125,              1,               ,               ,               ,
2020-02-17,              9,            1.0,              0,               ,               ,               ,
2020-02-18,              9,            1.0,              0,               ,               ,               ,
2020-02-19,              9,            1.0,              0,               ,               ,               ,
2020-02-20,              9,            1.0,              0,               ,               ,               ,
2020-02-21,             11,          1.222,              2,               ,               ,               ,
2020-02-22,             13,          1.182,              2,               ,               ,               ,
2020-02-23,             13,            1.0,              0,               ,               ,               ,
2020-02-24,             13,            1.0,              0,               ,               ,               ,
2020-02-25,             13,            1.0,              0,               ,               ,               ,
2020-02-26,             13,            1.0,              0,               ,               ,               ,
2020-02-27,             19,          1.462,              6,               ,               ,               ,
2020-02-28,             19,            1.0,              0,               ,               ,               ,
2020-02-29,             21,          1.105,              2,               ,               ,               ,
2020-03-01,             21,            1.0,              0,               ,               ,               ,
2020-03-02,             21,            1.0,              0,               ,               ,               ,
2020-03-03,             27,          1.286,              6,               ,               ,               ,
2020-03-04,             28,          1.037,              1,               ,               ,               ,
2020-03-05,             28,            1.0,              0,               ,               ,               ,
2020-03-06,             45,          1.607,             17,               ,               ,               ,
2020-03-07,             45,            1.0,              0,               ,               ,               ,
2020-03-08,             45,            1.0,              0,               ,               ,               ,
2020-03-09,             59,          1.311,             14,               ,               ,               ,
2020-03-10,             74,          1.254,             15,               ,               ,               ,
2020-03-11,             74,            1.0,              0,               ,               ,               ,
2020-03-12,             85,          1.149,             11,               ,               ,               ,
2020-03-13,             85,            1.0,              0,               ,               ,               ,
2020-03-14,             85,            1.0,              0,               ,               ,               ,
2020-03-15,             98,          1.153,             13,               ,               ,               ,
2020-03-16,             98,            1.0,              0,               ,               ,               ,
2020-03-17,            113,          1.153,             15,               ,               ,               ,
2020-03-18,            113,            1.0,              0,               ,               ,               ,
2020-03-19,            140,          1.239,             27,               ,               ,               ,
2020-03-20,            140,            1.0,              0,              2,               ,              2,
2020-03-21,            153,          1.093,             13,              2,            1.0,              0,
2020-03-22,            153,            1.0,              0,              2,            1.0,              0,
2020-03-23,            198,          1.294,             45,              2,            1.0,              0,
2020-03-24,            248,          1.253,             50,              2,            1.0,              0,
2020-03-25,            333,          1.343,             85,              2,            1.0,              0,
2020-03-26,            333,            1.0,              0,              2,            1.0,              0,
2020-03-27,            405,          1.216,             72,              2,            1.0,              0,
2020-03-28,            468,          1.156,             63,              2,            1.0,              0,
2020-03-29,            570,          1.218,            102,              3,            1.5,              1,
2020-03-30,            611,          1.072,             41,              5,          1.667,              2,
2020-03-31,            664,          1.087,             53,              6,            1.2,              1,
2020-04-01,            814,          1.226,            150,              8,          1.333,              2,
2020-04-02,           1024,          1.258,            210,              8,            1.0,              0,
2020-04-03,           1264,          1.234,            240,              9,          1.125,              1,
