"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              4,              0,              4,              0,              0,              0,
2020-03-14,              6,            1.5,              2,              0,              0,              0,
2020-03-15,              6,            1.0,              0,              0,              0,              0,
2020-03-16,             29,          4.833,             23,              0,              0,              0,
2020-03-17,             50,          1.724,             21,              0,              0,              0,
2020-03-18,             79,           1.58,             29,              0,              0,              0,
2020-03-19,             79,            1.0,              0,              0,              0,              0,
2020-03-20,            110,          1.392,             31,              0,              0,              0,
2020-03-21,            110,            1.0,              0,              0,              0,              0,
2020-03-22,            158,          1.436,             48,              0,              0,              0,
2020-03-23,            162,          1.025,              4,              0,              0,              0,
2020-03-24,            189,          1.167,             27,              0,              0,              0,
2020-03-25,            217,          1.148,             28,              0,              0,              0,
2020-03-26,            238,          1.097,             21,              0,              0,              0,
2020-03-27,            238,            1.0,              0,              0,              0,              0,
2020-03-28,            304,          1.277,             66,              1,              0,              1,
2020-03-29,            304,            1.0,              0,              1,            1.0,              0,
2020-03-30,            320,          1.053,             16,              1,            1.0,              0,
2020-03-31,            338,          1.056,             18,              1,            1.0,              0,
2020-04-01,            350,          1.036,             12,              2,            2.0,              1,
2020-04-02,            350,            1.0,              0,              4,            2.0,              2,
2020-04-03,            386,          1.103,             36,              4,            1.0,              0,
2020-04-04,            400,          1.036,             14,              5,           1.25,              1,
2020-04-05,            406,          1.015,              6,              6,            1.2,              1,
2020-04-06,            415,          1.022,              9,              6,            1.0,              0,
2020-04-07,            424,          1.022,              9,              7,          1.167,              1,
2020-04-08,            456,          1.075,             32,              7,            1.0,              0,
2020-04-09,            456,            1.0,              0,              7,            1.0,              0,
2020-04-10,            473,          1.037,             17,              7,            1.0,              0,
