"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             15,              0,             15,              0,              0,              0,
2020-02-16,             15,            1.0,              0,              0,              0,              0,
2020-02-17,             15,            1.0,              0,              0,              0,              0,
2020-02-18,             15,            1.0,              0,              0,              0,              0,
2020-02-19,             15,            1.0,              0,              0,              0,              0,
2020-02-20,             15,            1.0,              0,              0,              0,              0,
2020-02-21,             35,          2.333,             20,              0,              0,              0,
2020-02-22,             35,            1.0,              0,              0,              0,              0,
2020-02-23,             35,            1.0,              0,              0,              0,              0,
2020-02-24,             53,          1.514,             18,              0,              0,              0,
2020-02-25,             57,          1.075,              4,              0,              0,              0,
2020-02-26,             60,          1.053,              3,              0,              0,              0,
2020-02-27,             60,            1.0,              0,              0,              0,              0,
2020-02-28,             63,           1.05,              3,              0,              0,              0,
2020-02-29,             68,          1.079,              5,              1,              0,              1,
2020-03-01,             75,          1.103,              7,              1,            1.0,              0,
2020-03-02,            100,          1.333,             25,              6,            6.0,              5,
2020-03-03,            124,           1.24,             24,              9,            1.5,              3,
2020-03-04,            158,          1.274,             34,             11,          1.222,              2,
2020-03-05,            221,          1.399,             63,             12,          1.091,              1,
2020-03-06,            319,          1.443,             98,             15,           1.25,              3,
2020-03-07,            435,          1.364,            116,             19,          1.267,              4,
2020-03-08,            541,          1.244,            106,             22,          1.158,              3,
2020-03-09,            704,          1.301,            163,             26,          1.182,              4,
2020-03-10,            994,          1.412,            290,             30,          1.154,              4,
2020-03-11,           1301,          1.309,            307,             38,          1.267,              8,
2020-03-12,           1630,          1.253,            329,             41,          1.079,              3,
2020-03-13,           2183,          1.339,            553,             48,          1.171,              7,
2020-03-14,           2770,          1.269,            587,             57,          1.188,              9,
2020-03-15,           3613,          1.304,            843,             69,          1.211,             12,
2020-03-16,           4596,          1.272,            983,             87,          1.261,             18,
2020-03-17,           6346,          1.381,           1750,            110,          1.264,             23,
2020-03-18,           9296,          1.465,           2950,            150,          1.364,             40,
2020-03-19,          13865,          1.492,           4569,            206,          1.373,             56,
2020-03-20,          19497,          1.406,           5632,            255,          1.238,             49,
2020-03-21,          24345,          1.249,           4848,            301,           1.18,             46,
2020-03-22,          33745,          1.386,           9400,            414,          1.375,            113,
2020-03-23,          44056,          1.306,          10311,            556,          1.343,            142,
2020-03-24,          55222,          1.253,          11166,            781,          1.405,            225,
2020-03-25,          68673,          1.244,          13451,           1028,          1.316,            247,
2020-03-26,          86061,          1.253,          17388,           1296,          1.261,            268,
2020-03-27,         104804,          1.218,          18743,           1697,          1.309,            401,
2020-03-28,         124256,          1.186,          19452,           2222,          1.309,            525,
2020-03-29,         144321,          1.161,          20065,           2592,          1.167,            370,
2020-03-30,         165053,          1.144,          20732,           3150,          1.215,            558,
2020-03-31,         189967,          1.151,          24914,           4064,           1.29,            914,
2020-04-01,         216622,           1.14,          26655,           5114,          1.258,           1050,
2020-04-02,         246729,          1.139,          30107,           6088,           1.19,            974,
2020-04-03,         279183,          1.132,          32454,           7139,          1.173,           1051,
2020-04-04,         313379,          1.122,          34196,           8469,          1.186,           1330,
2020-04-05,         338779,          1.081,          25400,           9636,          1.138,           1167,
2020-04-06,         370019,          1.092,          31240,          10895,          1.131,           1259,
2020-04-07,         403521,          1.091,          33502,          12868,          1.181,           1973,
2020-04-08,         435518,          1.079,          31997,          14811,          1.151,           1943,
2020-04-09,         469124,          1.077,          33606,          16712,          1.128,           1901,
2020-04-10,         502876,          1.072,          33752,          18747,          1.122,           2035,
