"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              0,              0,              0,              0,              0,              0,
2020-03-14,              0,              0,              0,              0,              0,              0,
2020-03-15,              4,              0,              4,              0,              0,              0,
2020-03-16,              8,            2.0,              4,              0,              0,              0,
2020-03-17,             11,          1.375,              3,              0,              0,              0,
2020-03-18,             18,          1.636,              7,              0,              0,              0,
2020-03-19,             23,          1.278,              5,              0,              0,              0,
2020-03-20,             33,          1.435,             10,              0,              0,              0,
2020-03-21,             41,          1.242,              8,              0,              0,              0,
2020-03-22,             43,          1.049,              2,              0,              0,              0,
2020-03-23,             46,           1.07,              3,              0,              0,              0,
2020-03-24,             50,          1.087,              4,              0,              0,              0,
2020-03-25,             60,            1.2,             10,              0,              0,              0,
2020-03-26,             75,           1.25,             15,              0,              0,              0,
2020-03-27,             88,          1.173,             13,              1,              0,              1,
2020-03-28,            104,          1.182,             16,              2,            2.0,              1,
2020-03-29,            144,          1.385,             40,              2,            1.0,              0,
2020-03-30,            149,          1.035,              5,              2,            1.0,              0,
2020-03-31,            172,          1.154,             23,              2,            1.0,              0,
2020-04-01,            181,          1.052,              9,              2,            1.0,              0,
2020-04-02,            205,          1.133,             24,              2,            1.0,              0,
2020-04-03,            227,          1.107,             22,              2,            1.0,              0,
2020-04-04,            266,          1.172,             39,              2,            1.0,              0,
2020-04-05,            342,          1.286,             76,              2,            1.0,              0,
2020-04-06,            457,          1.336,            115,              2,            1.0,              0,
2020-04-07,            520,          1.138,             63,              2,            1.0,              0,
2020-04-08,            545,          1.048,             25,              3,            1.5,              1,
2020-04-09,            582,          1.068,             37,              3,            1.0,              0,
2020-04-10,            624,          1.072,             42,              3,            1.0,              0,
