"Date"    ,  "Total Cases",   "Cases Rate",    "Cases Inc", "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,              0,              0,              0,              0,              0,              0,
2020-02-16,              0,              0,              0,              0,              0,              0,
2020-02-17,              0,              0,              0,              0,              0,              0,
2020-02-18,              0,              0,              0,              0,              0,              0,
2020-02-19,              0,              0,              0,              0,              0,              0,
2020-02-20,              0,              0,              0,              0,              0,              0,
2020-02-21,              0,              0,              0,              0,              0,              0,
2020-02-22,              0,              0,              0,              0,              0,              0,
2020-02-23,              0,              0,              0,              0,              0,              0,
2020-02-24,              0,              0,              0,              0,              0,              0,
2020-02-25,              0,              0,              0,              0,              0,              0,
2020-02-26,              0,              0,              0,              0,              0,              0,
2020-02-27,              0,              0,              0,              0,              0,              0,
2020-02-28,              0,              0,              0,              0,              0,              0,
2020-02-29,              0,              0,              0,              0,              0,              0,
2020-03-01,              0,              0,              0,              0,              0,              0,
2020-03-02,              0,              0,              0,              0,              0,              0,
2020-03-03,              0,              0,              0,              0,              0,              0,
2020-03-04,              0,              0,              0,              0,              0,              0,
2020-03-05,              0,              0,              0,              0,              0,              0,
2020-03-06,              0,              0,              0,              0,              0,              0,
2020-03-07,              0,              0,              0,              0,              0,              0,
2020-03-08,              0,              0,              0,              0,              0,              0,
2020-03-09,              0,              0,              0,              0,              0,              0,
2020-03-10,              0,              0,              0,              0,              0,              0,
2020-03-11,              0,              0,              0,              0,              0,              0,
2020-03-12,              0,              0,              0,              0,              0,              0,
2020-03-13,              2,              0,              2,              0,              0,              0,
2020-03-14,              2,            1.0,              0,              0,              0,              0,
2020-03-15,             17,            8.5,             15,              0,              0,              0,
2020-03-16,             17,            1.0,              0,              0,              0,              0,
2020-03-17,             33,          1.941,             16,              0,              0,              0,
2020-03-18,             36,          1.091,              3,              0,              0,              0,
2020-03-19,             42,          1.167,              6,              0,              0,              0,
2020-03-20,             65,          1.548,             23,              0,              0,              0,
2020-03-21,             70,          1.077,              5,              0,              0,              0,
2020-03-22,             70,            1.0,              0,              0,              0,              0,
2020-03-23,             84,            1.2,             14,              0,              0,              0,
2020-03-24,             84,            1.0,              0,              0,              0,              0,
2020-03-25,            106,          1.262,             22,              0,              0,              0,
2020-03-26,            107,          1.009,              1,              1,              0,              1,
2020-03-27,            113,          1.056,              6,              2,            2.0,              1,
2020-03-28,            119,          1.053,              6,              2,            1.0,              0,
2020-03-29,            119,            1.0,              0,              3,            1.5,              1,
2020-03-30,            135,          1.134,             16,              3,            1.0,              0,
2020-03-31,            135,            1.0,              0,              3,            1.0,              0,
2020-04-01,            144,          1.067,              9,              3,            1.0,              0,
2020-04-02,            146,          1.014,              2,              5,          1.667,              2,
2020-04-03,            153,          1.048,              7,              7,            1.4,              2,
2020-04-04,            155,          1.013,              2,              7,            1.0,              0,
2020-04-05,            159,          1.026,              4,              7,            1.0,              0,
2020-04-06,            165,          1.038,              6,              7,            1.0,              0,
2020-04-07,            166,          1.006,              1,              7,            1.0,              0,
2020-04-08,            167,          1.006,              1,              9,          1.286,              2,
2020-04-09,            171,          1.024,              4,              9,            1.0,              0,
2020-04-10,            175,          1.023,              4,              9,            1.0,              0,
