"Date"    ,  "Total Cases",   "Cases Rate",      Cases Inc, "Total Deaths",  "Deaths Rate",   "Deaths Inc"
2020-02-15,             16,               ,             16,               ,               ,               ,
2020-02-16,             16,            1.0,              0,               ,               ,               ,
2020-02-17,             16,            1.0,              0,               ,               ,               ,
2020-02-18,             16,            1.0,              0,               ,               ,               ,
2020-02-19,             16,            1.0,              0,               ,               ,               ,
2020-02-20,             16,            1.0,              0,               ,               ,               ,
2020-02-21,             16,            1.0,              0,               ,               ,               ,
2020-02-22,             16,            1.0,              0,               ,               ,               ,
2020-02-23,             16,            1.0,              0,               ,               ,               ,
2020-02-24,             16,            1.0,              0,               ,               ,               ,
2020-02-25,             16,            1.0,              0,               ,               ,               ,
2020-02-26,             16,            1.0,              0,               ,               ,               ,
2020-02-27,             16,            1.0,              0,               ,               ,               ,
2020-02-28,             16,            1.0,              0,               ,               ,               ,
2020-02-29,             16,            1.0,              0,               ,               ,               ,
2020-03-01,             16,            1.0,              0,               ,               ,               ,
2020-03-02,             16,            1.0,              0,               ,               ,               ,
2020-03-03,             16,            1.0,              0,               ,               ,               ,
2020-03-04,             16,            1.0,              0,               ,               ,               ,
2020-03-05,             16,            1.0,              0,               ,               ,               ,
2020-03-06,             17,          1.062,              1,               ,               ,               ,
2020-03-07,             20,          1.176,              3,               ,               ,               ,
2020-03-08,             30,            1.5,             10,               ,               ,               ,
2020-03-09,             31,          1.033,              1,               ,               ,               ,
2020-03-10,             34,          1.097,              3,               ,               ,               ,
2020-03-11,             39,          1.147,              5,               ,               ,               ,
2020-03-12,             44,          1.128,              5,               ,               ,               ,
2020-03-13,             44,            1.0,              0,               ,               ,               ,
2020-03-14,             53,          1.205,              9,               ,               ,               ,
2020-03-15,             57,          1.075,              4,               ,               ,               ,
2020-03-16,             61,           1.07,              4,               ,               ,               ,
2020-03-17,             66,          1.082,              5,               ,               ,               ,
2020-03-18,             76,          1.152,             10,               ,               ,               ,
2020-03-19,             85,          1.118,              9,               ,               ,               ,
2020-03-20,             91,          1.071,              6,               ,               ,               ,
2020-03-21,             94,          1.033,              3,               ,               ,               ,
2020-03-22,            113,          1.202,             19,               ,               ,               ,
2020-03-23,            123,          1.088,             10,               ,               ,               ,
2020-03-24,            134,          1.089,             11,               ,               ,               ,
2020-03-25,            148,          1.104,             14,               ,               ,               ,
2020-03-26,            153,          1.034,              5,               ,               ,               ,
2020-03-27,            163,          1.065,             10,               ,               ,               ,
2020-03-28,            174,          1.067,             11,               ,               ,               ,
2020-03-29,            194,          1.115,             20,               ,               ,               ,
2020-03-30,            204,          1.052,             10,               ,               ,               ,
2020-03-31,            212,          1.039,              8,               ,               ,               ,
2020-04-01,            218,          1.028,              6,               ,               ,               ,
2020-04-02,            233,          1.069,             15,               ,               ,               ,
2020-04-03,            239,          1.026,              6,               ,               ,               ,
